date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,0.101116,0.101345,0.097262,0.101146,3.96298082E8,3.14691645E9
2020-09-29,0.100703,0.103349,0.097939,0.101136,4.50401208E8,3.146585178E9
2020-09-28,0.101206,0.106491,0.100503,0.100696,5.73226386E8,3.132899454E9
2020-09-27,0.095578,0.102269,0.094908,0.101206,4.95061617E8,3.148756645E9
2020-09-26,0.096892,0.099498,0.09303,0.09555,4.38309287E8,2.972796108E9
2020-09-25,0.0829,0.09822,0.082845,0.096909,6.57875487E8,3.015074595E9
2020-09-24,0.076806,0.08356,0.076059,0.082895,3.73385376E8,2.579073888E9
2020-09-23,0.081754,0.082657,0.076367,0.07683,2.94814765E8,2.39036344E9
2020-09-22,0.080448,0.083034,0.079868,0.081754,3.16907647E8,2.543566502E9
2020-09-21,0.089459,0.090285,0.078425,0.080428,5.66692194E8,2.50230245E9
2020-09-20,0.091662,0.09224,0.088361,0.089433,6.82896131E8,2.78247326E9
2020-09-19,0.090884,0.09307,0.090632,0.091657,6.17795834E8,2.851669375E9
2020-09-18,0.094217,0.094217,0.090015,0.091081,6.99241251E8,2.83375391E9
2020-09-17,0.091655,0.094512,0.091069,0.094217,8.25621808E8,2.931310016E9
2020-09-16,0.093398,0.093686,0.08993,0.09165,8.22410832E8,2.851444344E9
2020-09-15,0.096809,0.097932,0.093308,0.093496,8.13329601E8,2.908901262E9
2020-09-14,0.094906,0.098179,0.093579,0.096769,8.51692144E8,2.508929771E9
2020-09-13,0.097598,0.099751,0.092938,0.094856,7.71663333E8,2.459337149E9
2020-09-12,0.097112,0.09871,0.09532,0.097598,6.99214253E8,2.530438657E9
2020-09-11,0.097156,0.097526,0.093296,0.096989,7.71197364E8,2.514641826E9
2020-09-10,0.093433,0.099689,0.093433,0.097156,8.09239667E8,2.518960461E9
2020-09-09,0.091149,0.095745,0.089763,0.093349,5.72617714E8,2.420254923E9
2020-09-08,0.093237,0.096574,0.088923,0.091011,6.10082647E8,2.359641181E9
2020-09-07,0.093072,0.093843,0.08693,0.093333,4.63220962E8,2.419859105E9
2020-09-06,0.089923,0.095189,0.086839,0.09306,4.54580262E8,2.412763134E9
