date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,5.3,5.57,5.22,5.37,2.07449828E8,1.094780229E9
2020-09-29,4.84,5.37,4.82,5.3,1.70872167E8,1.078728559E9
2020-09-28,4.73,5.18,4.73,4.84,1.99772861E8,9.85917173E8
2020-09-27,4.61,4.79,4.55,4.73,1.21699166E8,9.62891592E8
2020-09-26,4.8,4.82,4.5,4.61,1.08388966E8,9.38263489E8
2020-09-25,4.49,4.81,4.38,4.79,1.54126209E8,9.75192527E8
2020-09-24,3.85,4.55,3.81,4.49,1.57128359E8,9.13859878E8
2020-09-23,4.22,4.3,3.83,3.85,1.34221234E8,7.82819109E8
2020-09-22,4.09,4.27,4.04,4.22,1.71684228E8,8.58325548E8
2020-09-21,4.66,4.74,4.01,4.1,3.48171174E8,8.33058273E8
2020-09-20,4.95,5.1,4.55,4.67,2.74054186E8,9.48752097E8
2020-09-19,4.97,5.05,4.87,4.94,2.77388053E8,1.005082804E9
2020-09-18,5.07,5.21,4.79,4.97,3.31408168E8,1.009745533E9
2020-09-17,5.14,5.2,4.87,5.07,3.40405816E8,1.030478402E9
2020-09-16,4.88,5.19,4.73,5.14,3.34951551E8,1.044035462E9
2020-09-15,5.39,5.45,4.82,4.88,3.63508871E8,9.91224564E8
2020-09-14,5.3,5.54,5.14,5.39,3.81948275E8,1.094614866E9
2020-09-13,5.61,5.83,5.13,5.28,3.77829015E8,1.072247337E9
2020-09-12,5.35,5.71,5.23,5.61,3.60035149E8,1.138856161E9
2020-09-11,5.32,5.4,5.07,5.36,4.17767144E8,1.087807791E9
2020-09-10,5.33,5.56,5.2,5.32,3.6585587E8,1.079024494E9
2020-09-09,4.95,5.51,4.9,5.33,3.2136255E8,1.082052005E9
2020-09-08,5.05,5.16,4.77,4.96,3.58032944E8,1.005060876E9
2020-09-07,5.19,5.26,4.67,5.05,2.95960169E8,1.024866109E9
2020-09-06,4.92,5.33,4.57,5.19,3.18911092E8,1.051132158E9
2020-09-05,5.51,5.67,4.7,4.93,3.42853119E8,9.98759947E8
2020-09-04,4.97,5.64,4.77,5.51,3.44004275E8,1.116443921E9
2020-09-03,6.66,6.73,4.8,4.98,2.82049166E8,1.00911481E9
2020-09-02,7.25,7.31,6.4,6.65,2.77133708E8,1.347620013E9
2020-09-01,7.21,7.63,7.08,7.25,3.71396401E8,1.467228913E9
2020-08-31,7.63,7.8,7.21,7.21,2.82620496E8,1.45995191E9
2020-08-30,7.3,7.9,7.27,7.64,3.50623367E8,1.545358355E9
2020-08-29,7.58,7.61,7.31,7.31,2.61510039E8,1.478593135E9
2020-08-28,7.29,7.82,7.17,7.58,3.23336194E8,1.533822158E9
2020-08-27,7.73,7.92,6.94,7.29,4.7620694E8,1.47385875E9
