date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,229.21,230.77,225.99,228.1,1.055011384E9,4.227206209E9
2020-09-29,226.17,229.83,225.35,229.24,1.071794544E9,4.248032829E9
2020-09-28,229.07,233.88,226.2,226.35,1.422003212E9,4.194378971E9
2020-09-27,221.87,230.15,217.62,229.07,1.1302478E9,4.244636263E9
2020-09-26,216.82,223.69,214.18,221.88,9.36709143E8,4.111073238E9
2020-09-25,216.7,218.18,211.65,216.66,9.23925188E8,4.014185755E9
2020-09-24,208.18,217.88,207.21,216.69,9.7411373E8,4.014628842E9
2020-09-23,220.17,220.22,205.66,208.17,9.55711724E8,3.856444948E9
2020-09-22,213.5,220.09,211.99,220.03,9.8716646E8,4.076131184E9
2020-09-21,226.65,228.9,211.03,213.52,1.708443759E9,3.955180105E9
2020-09-20,233.64,233.76,223.33,226.42,1.665443818E9,4.193940565E9
2020-09-19,234.09,237.23,232.29,233.63,1.761438254E9,4.327324184E9
2020-09-18,233.17,238.99,231.53,234.21,1.967062407E9,4.337851407E9
2020-09-17,231.59,239.28,230.6,233.17,2.356975266E9,4.318353227E9
2020-09-16,235.74,236.0,227.8,231.77,2.513150071E9,4.292296919E9
2020-09-15,226.4,241.23,225.69,235.63,3.148522136E9,4.363536397E9
2020-09-14,221.83,230.89,220.12,226.26,2.125300854E9,4.18989035E9
2020-09-13,230.29,234.19,219.78,221.83,2.008902148E9,4.107511806E9
2020-09-12,225.56,230.29,223.1,230.29,1.588108882E9,4.264106265E9
2020-09-11,227.71,228.33,221.32,225.54,1.769308088E9,4.175833599E9
2020-09-10,224.69,230.26,224.62,227.71,2.007978798E9,4.215911572E9
2020-09-09,222.56,228.6,219.34,224.68,1.619487057E9,4.159480934E9
2020-09-08,228.67,230.38,217.58,222.54,2.444380275E9,4.119692455E9
2020-09-07,228.35,230.07,216.88,228.61,2.767464423E9,4.231891588E9
2020-09-06,225.3,232.96,220.78,228.45,2.53332454E9,4.228811552E9
2020-09-05,231.64,234.97,216.58,225.3,3.128814772E9,4.170251808E9
2020-09-04,215.62,239.19,215.02,231.87,2.130928347E9,4.291714837E9
2020-09-03,264.09,265.94,214.0,216.06,1.891347861E9,3.998851865E9
2020-09-02,292.43,294.54,258.74,264.12,2.049397876E9,4.88804331E9
2020-09-01,274.48,295.45,270.78,292.72,1.755312158E9,5.417103333E9
2020-08-31,279.28,280.96,273.82,274.54,1.163683245E9,5.080476442E9
2020-08-30,268.84,279.07,268.57,279.07,1.161105104E9,5.163998625E9
2020-08-29,269.11,272.61,267.19,268.95,1.116848741E9,4.976575189E9
2020-08-28,264.68,271.67,262.42,268.91,1.147885582E9,4.975587603E9
2020-08-27,275.42,277.05,260.73,264.58,1.372140072E9,4.895213658E9
2020-08-26,276.62,278.72,271.97,275.57,1.147215569E9,5.098237491E9
2020-08-25,291.37,291.63,271.81,276.8,1.464994914E9,5.120717824E9
2020-08-24,285.07,293.77,283.38,291.33,1.211774706E9,5.389224269E9
2020-08-23,286.91,287.39,280.3,284.96,1.031635458E9,5.271151844E9
2020-08-22,284.25,287.46,278.77,287.36,1.270186095E9,5.315400441E9
2020-08-21,294.73,304.52,284.0,284.3,1.676078293E9,5.258449752E9
2020-08-20,292.7,295.81,290.22,294.79,1.275491257E9,5.452274568E9
2020-08-19,304.29,308.55,283.91,292.7,1.892818478E9,5.413313861E9
2020-08-18,317.35,323.1,304.17,304.17,1.935254637E9,5.625277383E9
