date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,28.83,29.58,28.03,29.33,3.98597227E8,4.23558635E9
2020-09-29,26.99,29.02,26.98,28.85,4.28302897E8,4.166537215E9
2020-09-28,26.24,27.75,25.91,26.98,3.67437239E8,3.896766709E9
2020-09-27,26.24,26.89,25.63,26.24,3.07235511E8,3.789208844E9
2020-09-26,24.71,26.48,24.57,26.24,3.41846108E8,3.789003004E9
2020-09-25,24.63,25.11,23.88,24.68,3.14771614E8,3.563719938E9
2020-09-24,22.87,24.67,22.69,24.62,3.3489957E8,3.555583245E9
2020-09-23,24.1,24.35,22.69,22.87,3.06156084E8,3.302964909E9
2020-09-22,23.19,24.52,22.85,24.1,3.40023558E8,3.480304977E9
2020-09-21,26.43,26.7,22.55,23.27,4.62503299E8,3.360034461E9
2020-09-20,27.25,27.33,25.26,26.39,3.4319752E8,3.811197212E9
2020-09-19,27.62,27.88,26.76,27.25,3.31216806E8,3.935239344E9
2020-09-18,26.99,28.78,26.71,27.4,4.82149967E8,3.956664775E9
2020-09-17,27.93,28.84,26.14,26.99,5.12578971E8,3.897985086E9
2020-09-16,27.2,28.52,26.08,27.96,6.6453953E8,4.038270839E9
2020-09-15,31.16,31.27,26.86,27.2,8.6182191E8,3.928203643E9
2020-09-14,31.1,33.49,29.17,31.18,1.00939226E9,4.502400574E9
2020-09-13,28.53,32.33,28.22,31.06,1.144638251E9,4.485069875E9
2020-09-12,25.45,28.53,25.45,28.53,6.88007352E8,4.119897328E9
2020-09-11,24.56,25.73,23.08,25.45,4.20689466E8,3.67535115E9
2020-09-10,24.54,25.61,24.21,24.56,4.56365135E8,3.546608927E9
2020-09-09,23.22,24.56,22.54,24.53,4.56284484E8,3.542334928E9
2020-09-08,22.43,23.42,21.36,23.19,5.55422363E8,3.348824083E9
2020-09-07,23.19,23.51,20.27,22.39,5.55588378E8,3.233740277E9
2020-09-06,19.48,23.41,18.68,23.19,7.40680573E8,3.348883884E9
2020-09-05,21.04,21.55,18.18,19.48,3.99969033E8,2.812861769E9
2020-09-04,20.6,21.83,19.98,21.06,4.89923568E8,3.040639911E9
2020-09-03,24.7,25.51,20.52,20.62,5.74956638E8,2.977646779E9
2020-09-02,24.81,25.79,23.61,24.69,5.77817197E8,3.565450183E9
2020-09-01,23.19,25.41,22.99,24.82,4.50200844E8,3.584473534E9
2020-08-31,23.65,23.91,23.05,23.19,2.155112E8,3.349228654E9
2020-08-30,23.01,23.84,22.96,23.64,2.28141192E8,3.414480811E9
2020-08-29,23.13,23.51,22.83,23.01,2.13897145E8,3.322978734E9
2020-08-28,23.08,23.53,22.71,23.13,2.60086579E8,3.340674193E9
2020-08-27,22.26,23.14,21.92,23.08,2.96206828E8,3.333012206E9
2020-08-26,21.47,22.48,21.34,22.28,2.55812854E8,3.216988911E9
2020-08-25,22.61,22.63,21.15,21.48,2.34877041E8,3.101183769E9
2020-08-24,21.87,22.9,21.77,22.61,1.92633739E8,3.264433403E9
2020-08-23,22.22,22.22,21.61,21.87,1.81970641E8,3.158293019E9
2020-08-22,22.12,22.24,21.46,22.24,2.08053381E8,3.211575905E9
2020-08-21,23.1,23.35,21.86,22.13,2.45533836E8,3.19557193E9
2020-08-20,22.37,23.27,22.13,23.09,2.40389084E8,3.334719466E9
2020-08-19,23.06,23.25,22.01,22.31,2.24754805E8,3.221767589E9
2020-08-18,23.49,23.68,22.58,23.07,2.59152684E8,3.331052285E9
2020-08-17,23.5,23.86,23.09,23.51,2.64606385E8,3.395013043E9
2020-08-16,23.05,23.77,22.83,23.5,2.71264839E8,3.393135634E9
2020-08-15,23.09,23.88,22.9,23.02,2.69746412E8,3.324491959E9
2020-08-14,22.08,23.36,21.7,23.07,3.57386067E8,3.331429313E9
2020-08-13,21.77,22.15,20.75,22.08,2.99981376E8,3.187853579E9
2020-08-12,21.31,22.19,20.62,21.75,2.56078366E8,3.141052138E9
2020-08-11,22.63,22.76,20.84,21.26,3.10846749E8,3.069642355E9
2020-08-10,22.48,22.84,22.28,22.61,2.39664308E8,3.265580526E9
2020-08-09,22.89,22.94,22.16,22.48,2.1669461E8,3.245614914E9
2020-08-08,22.31,22.94,21.94,22.88,2.36392685E8,3.303750487E9
2020-08-07,22.72,23.0,21.63,22.31,3.26409994E8,3.221933538E9
2020-08-06,23.32,23.33,22.57,22.71,2.46554661E8,3.27913527E9
2020-08-05,22.29,23.56,22.14,23.34,3.44072749E8,3.369902765E9
2020-08-04,22.05,22.4,21.62,22.28,2.41931958E8,3.217751647E9
2020-08-03,20.94,22.38,20.77,22.06,2.65708949E8,3.18488821E9
2020-08-02,21.55,22.02,19.97,20.94,2.99350525E8,3.024579087E9
2020-08-01,20.67,21.62,20.6,21.53,2.64604008E8,3.109135453E9
2020-07-31,19.99,20.84,19.93,20.67,2.2978108E8,2.984615923E9
2020-07-30,19.9,20.07,19.57,20.01,2.0043641E8,2.889970345E9
2020-07-29,20.19,20.37,19.86,19.9,2.04440432E8,2.873053585E9
2020-07-28,19.7,20.61,19.5,20.17,2.84409544E8,2.913192575E9
2020-07-27,19.52,20.14,18.55,19.62,3.25386899E8,2.833304045E9
2020-07-26,19.75,20.23,19.36,19.52,2.48581857E8,2.818964003E9
2020-07-25,19.16,19.98,19.14,19.78,2.57057785E8,2.855845136E9
2020-07-24,18.68,19.52,18.27,19.15,2.48008823E8,2.765804467E9
2020-07-23,18.09,18.69,18.07,18.67,2.20207323E8,2.696546476E9
2020-07-22,17.71,18.09,17.51,18.09,1.91909868E8,2.612590172E9
