date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,10845.41,10856.53,10689.67,10787.62,2.075962201E10,1.99620143649E11
2020-09-29,10712.46,10858.94,10665.34,10848.83,2.0459870042E10,2.00742343863E11
2020-09-28,10771.64,10949.12,10716.68,10721.33,2.2720365389E10,1.98373626496E11
2020-09-27,10752.94,10804.73,10643.46,10774.43,1.8016880214E10,1.99347495686E11
2020-09-26,10702.24,10778.5,10682.08,10754.44,1.8105012128E10,1.98967310682E11
2020-09-25,10747.47,10757.55,10594.05,10702.29,2.1232549821E10,1.97992438297E11
2020-09-24,10227.48,10765.79,10215.21,10745.55,2.3017536742E10,1.98781560095E11
2020-09-23,10539.46,10637.85,10185.77,10225.86,2.2986733997E10,1.89159114865E11
2020-09-22,10459.62,10568.08,10382.73,10538.46,2.3621787804E10,1.94932197947E11
2020-09-21,10934.93,10988.3,10380.26,10462.26,2.8884999244E10,1.93514327128E11
2020-09-20,11095.87,11095.87,10814.48,10938.27,2.4699523788E10,2.02308927892E11
2020-09-19,10933.75,11134.09,10909.62,11094.35,2.2764204008E10,2.05185696336E11
2020-09-18,10951.82,11034.91,10829.66,10944.59,2.6341903912E10,2.02405809881E11
2020-09-17,10973.25,11037.42,10774.63,10948.99,3.8151810523E10,2.02475761712E11
2020-09-16,10797.76,11100.12,10704.88,10974.9,3.0769986455E10,2.02942925722E11
2020-09-15,10677.75,10938.63,10656.46,10796.95,3.2509451925E10,1.99641896762E11
2020-09-14,10328.73,10800.01,10266.01,10680.84,3.545358194E10,1.97484272947E11
2020-09-13,10452.4,10577.22,10224.33,10323.76,3.6506852789E10,1.90870759062E11
2020-09-12,10409.86,10578.84,10292.39,10442.17,3.6750077324E10,1.93049493277E11
2020-09-11,10369.03,10434.92,10140.84,10400.91,4.5201121775E10,1.92275791669E11
2020-09-10,10242.33,10503.91,10238.14,10363.14,5.4406443211E10,1.91568387062E11
2020-09-09,10134.15,10350.54,10017.25,10242.35,2.4128292755E10,1.89325507175E11
2020-09-08,10369.31,10414.78,9945.11,10131.52,3.3430927462E10,1.87267336728E11
2020-09-07,10281.0,10399.15,9916.49,10369.56,3.3703098409E10,1.91657203885E11
2020-09-06,10167.22,10353.93,10056.89,10280.35,3.7071460174E10,1.89997214393E11
2020-09-05,10512.53,10581.57,9946.68,10169.57,4.4916565292E10,1.87940141276E11
2020-09-04,10230.37,10663.92,10207.94,10511.81,2.9965130374E10,1.94255818704E11
2020-09-03,11407.19,11443.02,10182.47,10245.3,3.1927261555E10,1.89322069063E11
2020-09-02,11964.82,11964.82,11290.79,11414.03,2.8037405299E10,2.10909793681E11
2020-09-01,11679.32,12067.08,11601.13,11970.48,2.7311555343E10,2.21181001607E11
2020-08-31,11713.31,11768.88,11598.32,11680.82,2.228592825E10,2.15817677822E11
2020-08-30,11508.71,11715.26,11492.38,11711.51,1.9760127945E10,2.16373660045E11
2020-08-29,11541.05,11585.64,11466.29,11506.87,1.7485597759E10,2.12583870983E11
2020-08-28,11325.3,11545.62,11316.42,11542.5,1.9807127588E10,2.13231661583E11
2020-08-27,11485.61,11570.79,11185.94,11323.4,2.3240415076E10,2.09172436817E11
2020-08-26,11366.89,11530.05,11296.99,11488.36,2.2466660958E10,2.12210534428E11
2020-08-25,11773.59,11778.3,11189.85,11366.14,2.6301509932E10,2.09942744481E11
2020-08-24,11663.69,11807.63,11623.25,11774.6,2.0681511755E10,2.1747796265E11
2020-08-23,11679.7,11713.43,11559.92,11664.85,1.8482062658E10,2.15439967321E11
2020-08-22,11585.48,11689.41,11448.81,11681.83,2.0224191306E10,2.15742068895E11
2020-08-21,11878.03,11899.26,11564.98,11592.49,2.3762425999E10,2.14082401861E11
2020-08-20,11761.5,11900.41,11710.06,11878.37,2.0175242945E10,2.19350310326E11
2020-08-19,11990.88,12028.92,11687.33,11758.28,2.4502851117E10,2.17122068305E11
2020-08-18,12251.9,12335.71,11954.53,11991.23,2.6043227672E10,2.21413097553E11
2020-08-17,11895.66,12359.06,11806.7,12254.4,2.8227687027E10,2.26261747567E11
2020-08-16,11866.69,11934.9,11737.19,11892.8,2.058337549E10,2.1957609217E11
2020-08-15,11768.7,11963.2,11768.7,11865.7,2.33549244E10,2.19064372745E11
2020-08-14,11772.66,12150.99,11685.46,11768.87,2.4237958589E10,2.17265120503E11
2020-08-13,11588.41,11796.4,11216.87,11784.14,2.7522199497E10,2.17534728413E11
2020-08-12,11404.6,11748.4,11249.61,11584.93,2.5064548486E10,2.13846666475E11
2020-08-11,11881.65,11932.71,11195.71,11410.53,2.703978264E10,2.10616121945E11
2020-08-10,11662.26,12045.14,11662.26,11878.11,2.6114112569E10,2.19235405395E11
2020-08-09,11737.33,11806.06,11548.78,11675.74,1.7489608833E10,2.15490364255E11
2020-08-08,11604.55,11800.06,11558.43,11754.05,1.7572057837E10,2.16924147851E11
2020-08-07,11778.89,11898.04,11408.59,11601.47,2.3132312867E10,2.14097928027E11
2020-08-06,11749.87,11902.34,11598.71,11779.77,2.340074034E10,2.17377233001E11
2020-08-05,11203.82,11786.62,11158.29,11747.02,2.4411254471E10,2.16761492406E11
2020-08-04,11246.2,11385.38,11094.15,11205.89,2.1250197042E10,2.06767135617E11
2020-08-03,11043.77,11453.08,11012.41,11246.35,2.0271713443E10,2.07503423456E11
2020-08-02,11758.76,12034.14,11018.13,11053.61,2.7410067336E10,2.0393613673E11
2020-08-01,11322.57,11794.78,11239.68,11759.59,2.6075670303E10,2.16950669098E11
2020-07-31,11110.21,11415.86,10987.05,11323.47,2.3160469766E10,2.08895308529E11
2020-07-30,11099.83,11169.36,10895.46,11111.21,2.2857247901E10,2.04969047788E11
2020-07-29,10912.95,11304.4,10856.14,11100.47,2.4617249715E10,2.04761455133E11
2020-07-28,11017.46,11204.33,10632.63,10912.82,2.8766551142E10,2.01290022193E11
2020-07-27,9905.22,11298.22,9903.97,10990.87,3.535974959E10,2.02719581737E11
2020-07-26,9680.23,10023.81,9652.85,9905.17,2.0507998997E10,1.82685328095E11
2020-07-25,9539.49,9704.56,9530.21,9677.11,1.6610070933E10,1.78469614078E11
2020-07-24,9585.51,9623.34,9481.45,9536.89,1.6552768325E10,1.75875016548E11
2020-07-23,9527.14,9610.25,9483.0,9581.07,1.8146399002E10,1.7668023748E11
2020-07-22,9375.08,9530.52,9319.65,9525.36,1.6532254884E10,1.75644844408E11
2020-07-21,9162.51,9407.26,9149.39,9374.89,1.8069581956E10,1.72861732402E11
2020-07-20,9187.22,9214.27,9137.51,9164.23,1.3755604146E10,1.68970262859E11
2020-07-19,9158.01,9201.4,9097.63,9185.82,1.2939002784E10,1.69360219986E11
2020-07-18,9151.18,9230.98,9100.82,9159.04,1.2252601475E10,1.68858972269E11
2020-07-17,9131.81,9182.25,9089.2,9151.39,1.3944570749E10,1.68710427574E11
2020-07-16,9191.98,9214.31,9088.95,9132.23,1.5713967523E10,1.68350501976E11
2020-07-15,9241.9,9275.33,9171.93,9192.84,1.5844731575E10,1.69460074576E11
2020-07-14,9238.7,9283.84,9171.66,9243.21,1.8085038362E10,1.70380670525E11
2020-07-13,9277.2,9306.4,9224.29,9243.61,1.7519821266E10,1.70379677119E11
2020-07-12,9241.06,9319.42,9197.45,9276.5,1.4452361907E10,1.70977422928E11
2020-07-11,9277.51,9293.53,9199.49,9240.35,1.3249910444E10,1.70302234778E11
2020-07-10,9273.36,9287.47,9118.0,9278.81,1.6860035605E10,1.71001933827E11
2020-07-09,9427.99,9431.38,9235.0,9277.97,1.8000702524E10,1.70977231638E11
2020-07-08,9253.02,9450.34,9249.5,9428.33,1.9702359883E10,1.73738543115E11
2020-07-07,9349.16,9360.62,9201.82,9252.28,1.3839652595E10,1.70485472276E11
2020-07-06,9072.85,9375.47,9058.66,9375.47,1.7889263252E10,1.7274610384E11
2020-07-05,9126.09,9162.18,8977.02,9073.94,1.2903406143E10,1.67181726154E11
2020-07-04,9084.23,9183.3,9053.63,9132.49,1.2290528515E10,1.68251076678E11
2020-07-03,9124.84,9202.34,9058.79,9087.3,1.3078970999E10,1.67409720388E11
2020-07-02,9231.14,9274.96,9036.62,9123.41,1.6338916796E10,1.68065586387E11
2020-07-01,9145.99,9309.75,9104.73,9228.33,1.5971550355E10,1.69988756578E11
2020-06-30,9185.58,9217.84,9084.84,9137.99,1.5735797744E10,1.68315606321E11
2020-06-29,9140.03,9237.57,9041.88,9190.85,1.6460547078E10,1.69280659246E11
2020-06-28,9048.46,9197.55,8975.53,9143.58,1.456087076E10,1.68401806137E11
2020-06-27,9167.82,9207.81,8998.22,9045.39,1.7273093144E10,1.66584831506E11
2020-06-26,9260.99,9310.52,9101.74,9162.92,1.8341465837E10,1.68741367622E11
2020-06-25,9314.13,9340.16,9095.32,9264.81,1.8616048626E10,1.70608289504E11
2020-06-24,9632.15,9680.37,9278.23,9313.61,1.8961716076E10,1.7149878128E11
2020-06-23,9644.08,9670.54,9547.25,9629.66,1.7006433272E10,1.77310052079E11
2020-06-22,9300.92,9655.07,9296.87,9648.72,2.1104009514E10,1.77651397437E11
2020-06-21,9330.93,9401.11,9300.43,9303.63,1.5324301169E10,1.71289415079E11
2020-06-20,9290.96,9394.97,9247.38,9332.34,1.7130541557E10,1.71809438651E11
2020-06-19,9410.29,9440.88,9274.3,9288.02,1.9632223107E10,1.70985625732E11
2020-06-18,9481.57,9482.78,9328.4,9411.84,1.7770083003E10,1.73256688664E11
2020-06-17,9533.78,9540.42,9327.34,9480.26,2.0177709879E10,1.74508805561E11
2020-06-16,9454.27,9579.43,9400.45,9538.02,2.1565537209E10,1.75563963385E11
2020-06-15,9386.04,9504.86,8990.18,9450.7,2.6699704768E10,1.73947607772E11
2020-06-14,9477.55,9482.27,9347.59,9386.79,1.8991732746E10,1.72763239787E11
2020-06-13,9480.74,9493.21,9396.01,9475.28,1.7564322315E10,1.74381819725E11
2020-06-12,9320.69,9540.47,9285.85,9480.84,2.2610564515E10,1.74474896922E11
2020-06-11,9870.08,9938.3,9263.07,9321.78,3.024714344E10,1.71538133043E11
2020-06-10,9794.12,9908.9,9728.29,9870.09,2.5706567601E10,1.81616765438E11
2020-06-09,9774.36,9836.37,9664.72,9795.7,2.3717842783E10,1.80237817527E11
2020-06-08,9760.06,9782.31,9675.89,9771.49,2.1486346312E10,1.79782576534E11
2020-06-07,9653.0,9768.5,9458.15,9758.85,2.5015250846E10,1.79540253701E11
2020-06-06,9664.9,9773.43,9591.02,9653.68,2.0438419222E10,1.77595657884E11
2020-06-05,9800.22,9869.24,9663.22,9665.53,2.3509628646E10,1.77801825145E11
2020-06-04,9655.85,9887.61,9525.25,9800.64,2.5921805072E10,1.80276153545E11
2020-06-03,9533.76,9682.86,9471.85,9656.72,2.5007459262E10,1.77619631126E11
2020-06-02,10162.97,10182.34,9460.57,9529.8,3.9137252109E10,1.75277218229E11
2020-06-01,9463.61,10199.56,9450.9,10167.27,3.5198901068E10,1.8699340574E11
2020-05-31,9700.11,9700.34,9432.3,9461.06,2.7773290299E10,1.7399715193E11
2020-05-30,9438.91,9704.03,9366.73,9700.41,3.2722975141E10,1.78390129758E11
2020-05-29,9528.36,9573.67,9379.34,9439.12,3.2896642044E10,1.73575756364E11
2020-05-28,9184.94,9546.32,9148.46,9525.75,3.4367073114E10,1.7516123529E11
2020-05-27,8837.38,9203.32,8834.16,9181.02,3.2740536902E10,1.68814700531E11
2020-05-26,8909.59,8991.97,8757.29,8835.05,2.9584186947E10,1.62445535235E11
2020-05-25,8786.11,8951.01,8719.67,8906.93,3.1288157264E10,1.63760453116E11
2020-05-24,9212.28,9288.4,8787.25,8790.37,3.25188033E10,1.61610414643E11
2020-05-23,9185.06,9302.5,9118.11,9209.29,2.7727866812E10,1.6930549244E11
2020-05-22,9080.33,9232.94,9008.64,9182.58,2.9810773699E10,1.68807619957E11
2020-05-21,9522.74,9555.24,8869.93,9081.76,3.9326160532E10,1.66947987864E11
2020-05-20,9725.33,9804.79,9447.2,9522.98,3.6546239703E10,1.75050963475E11
2020-05-19,9727.06,9836.05,9539.62,9729.04,3.9254288955E10,1.78831635026E11
2020-05-18,9675.69,9906.03,9570.36,9726.57,4.1827139896E10,1.78779483464E11
2020-05-17,9374.93,9823.0,9349.55,9670.74,4.0084250663E10,1.7774540447E11
2020-05-16,9333.24,9564.2,9260.69,9377.01,3.6164766408E10,1.72340956579E11
2020-05-15,9734.29,9755.83,9261.4,9328.2,4.8158802327E10,1.71436341789E11
2020-05-14,9271.33,9793.27,9255.03,9733.72,5.6426907637E10,1.78881641547E11
2020-05-13,8805.39,9317.88,8805.39,9269.99,4.5558144023E10,1.70352710071E11
2020-05-12,8610.39,8949.9,8569.64,8804.48,4.2142717533E10,1.61791577301E11
2020-05-11,8755.54,9033.47,8374.32,8601.8,5.7119858802E10,1.58059235276E11
2020-05-10,9591.17,9595.58,8395.11,8756.43,6.3325279337E10,1.60884755211E11
2020-05-09,9840.91,9913.86,9580.64,9593.9,4.6566121841E10,1.76251395673E11
2020-05-08,9936.16,9996.74,9767.17,9842.67,5.1780748042E10,1.80804859844E11
2020-05-07,9261.9,9992.66,9138.32,9951.52,6.1112700562E10,1.82787376637E11
2020-05-06,9007.44,9411.47,8966.71,9268.76,4.9371886931E10,1.70229620935E11
2020-05-05,8912.83,9062.41,8856.83,9003.07,4.3148462663E10,1.65332488792E11
2020-05-04,8895.74,8956.91,8645.02,8912.65,4.5718796276E10,1.63654493632E11
2020-05-03,8983.61,9167.78,8830.97,8897.47,4.7101785174E10,1.63358189151E11
2020-05-02,8869.06,9007.19,8811.37,8988.6,4.0134388683E10,1.650123076E11
2020-05-01,8672.78,9048.02,8667.76,8864.77,4.4068389997E10,1.6272265238E11
2020-04-30,8797.67,9440.65,8533.26,8658.55,6.6964629541E10,1.58922133909E11
2020-04-29,7806.71,8871.75,7786.05,8801.04,6.0201052203E10,1.61522471385E11
2020-04-28,7796.97,7814.53,7730.81,7807.06,3.3187959921E10,1.43266252261E11
2020-04-27,7679.42,7795.6,7679.42,7795.6,3.6162144725E10,1.4304098859E11
2020-04-26,7570.14,7700.59,7561.41,7679.87,3.3070154491E10,1.40903867573E11
2020-04-25,7550.48,7641.36,7521.67,7569.94,3.2941541447E10,1.38874072264E11
2020-04-24,7434.18,7574.2,7434.18,7550.9,3.4636526286E10,1.38512029491E11
2020-04-23,7121.31,7491.78,7081.59,7429.72,4.3500782316E10,1.36275638031E11
2020-04-22,6879.44,7145.87,6867.78,7117.21,3.3249153866E10,1.30530916077E11
2020-04-21,6879.78,6934.55,6834.44,6880.32,3.2589741511E10,1.26175238603E11
2020-04-20,7186.87,7240.29,6835.5,6881.96,3.7747113936E10,1.26192239912E11
2020-04-19,7260.92,7280.52,7167.05,7189.42,3.1311210215E10,1.3181585385E11
2020-04-18,7092.29,7269.96,7089.25,7257.66,3.2447188386E10,1.33053136876E11
2020-04-17,7116.55,7167.18,7050.33,7096.18,3.2513423567E10,1.30078472088E11
2020-04-16,6640.45,7134.45,6555.5,7116.8,4.6783242377E10,1.3044541327E11
2020-04-15,6845.56,6928.66,6633.4,6642.11,3.2288311031E10,1.21731940639E11
2020-04-14,6843.28,6958.56,6793.82,6842.43,3.4110434052E10,1.25388687977E11
2020-04-13,6965.62,6965.62,6668.26,6845.04,3.8619308647E10,1.25422221237E11
2020-04-12,6858.07,7119.95,6811.08,6971.09,3.5759567632E10,1.27716846208E11
2020-04-11,6867.44,6926.07,6789.92,6859.08,3.1222085946E10,1.25651623116E11
2020-04-10,7303.82,7303.82,6802.47,6865.49,4.3622840992E10,1.25755496117E11
2020-04-09,7337.97,7341.45,7179.09,7302.09,3.4815139178E10,1.3373785701E11
2020-04-08,7179.28,7356.22,7153.31,7334.1,3.7563249549E10,1.34309895036E11
2020-04-07,7273.64,7427.94,7136.71,7176.41,4.4243482668E10,1.31409299432E11
2020-04-06,6788.05,7271.78,6782.89,7271.78,4.6896904615E10,1.33140400948E11
