date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,68.6,69.11,66.89,69.11,2.66434156E8,6.72929836E8
2020-09-29,67.51,68.79,67.04,68.66,2.8663825E8,6.6844276E8
2020-09-28,68.75,70.04,67.52,67.52,2.96838687E8,6.57255402E8
2020-09-27,69.18,69.89,67.43,68.75,2.84471075E8,6.68764056E8
2020-09-26,68.51,69.63,68.51,69.18,2.9862124E8,6.72887416E8
2020-09-25,67.82,69.33,66.8,68.55,2.93467987E8,6.6661285E8
2020-09-24,65.03,68.19,64.66,67.81,2.96822631E8,6.59308637E8
2020-09-23,68.17,69.82,64.71,65.06,2.69346128E8,6.32497795E8
2020-09-22,67.02,68.95,66.86,68.17,2.93589381E8,6.62638907E8
2020-09-21,70.81,71.6,65.62,67.06,3.39693582E8,6.51702095E8
2020-09-20,72.94,73.12,70.02,70.77,3.14553225E8,6.87640191E8
2020-09-19,72.23,73.49,71.73,73.04,3.21273259E8,7.09589408E8
2020-09-18,73.42,73.64,71.01,72.26,3.09323622E8,7.01863941E8
2020-09-17,73.42,74.73,71.68,73.42,3.13200144E8,7.13086587E8
2020-09-16,73.19,74.35,71.67,73.35,2.89772804E8,7.1227487E8
2020-09-15,75.29,75.99,73.16,73.22,3.03150473E8,7.10856418E8
2020-09-14,74.94,77.57,73.91,75.37,6.764861637E9,7.316333E8
2020-09-13,79.59,79.69,73.57,75.0,1.3822922696E10,7.27911043E8
2020-09-12,76.92,80.06,76.18,79.59,1.4082288712E10,7.72288325E8
2020-09-11,77.04,77.89,74.35,76.98,1.320623958E10,7.46924104E8
2020-09-10,75.79,78.63,75.1,77.04,1.3867464165E10,7.47303746E8
2020-09-09,74.57,77.21,74.38,75.78,2.03152467E8,7.3498483E8
2020-09-08,75.96,77.52,71.09,74.55,3.38941249E8,7.22907522E8
2020-09-07,70.21,76.36,66.43,75.95,3.62283861E8,7.36389168E8
2020-09-06,67.98,71.45,66.64,70.22,2.5470938E8,6.80733485E8
2020-09-05,72.96,73.95,65.64,67.98,3.0214328E8,6.58923348E8
2020-09-04,67.57,73.78,67.45,72.97,3.54077024E8,7.07158784E8
2020-09-03,83.38,83.42,66.09,67.67,3.11969736E8,6.55736656E8
2020-09-02,89.36,89.54,81.65,83.31,3.25340581E8,8.0707075E8
2020-09-01,86.7,90.47,85.77,89.28,3.43476338E8,8.64822741E8
2020-08-31,88.24,88.82,86.24,86.8,2.44856908E8,8.40665741E8
2020-08-30,85.43,88.77,85.34,88.2,2.77927374E8,8.54081661E8
2020-08-29,85.2,86.63,84.73,85.47,2.30804716E8,8.2748022E8
2020-08-28,83.56,85.89,82.87,85.21,2.6207866E8,8.24399985E8
2020-08-27,86.06,86.65,82.39,83.58,3.20763922E8,8.08562074E8
2020-08-26,85.04,87.35,84.14,86.13,2.98266221E8,8.33063119E8
2020-08-25,91.98,91.98,83.79,85.16,3.02784936E8,8.23521752E8
2020-08-24,91.63,93.12,90.0,91.95,1.93938722E8,8.89047233E8
2020-08-23,91.05,92.81,88.45,91.64,1.97719136E8,8.85888021E8
2020-08-22,87.43,91.1,86.07,91.1,2.13957533E8,8.80596153E8
2020-08-21,91.59,95.39,87.43,87.48,3.02272083E8,8.45401763E8
2020-08-20,88.16,91.71,87.6,91.58,2.04144747E8,8.84878573E8
