date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,4.5,4.5,4.26,4.35,3.52534727E8,3.712169539E9
2020-09-29,4.4,4.6,4.37,4.5,4.64868722E8,3.836976964E9
2020-09-28,4.3,4.58,4.27,4.4,4.88750087E8,3.752582206E9
2020-09-27,4.33,4.36,4.14,4.3,2.93119418E8,3.668361801E9
2020-09-26,4.42,4.47,4.25,4.33,3.06278283E8,3.695603724E9
2020-09-25,4.38,4.53,4.27,4.42,3.8665579E8,3.77171115E9
2020-09-24,4.02,4.41,4.0,4.38,3.90254721E8,3.737121461E9
2020-09-23,4.17,4.32,3.98,4.03,5.06491669E8,3.434215826E9
2020-09-22,4.09,4.21,3.92,4.17,6.73117344E8,3.559346335E9
2020-09-21,4.67,4.7,3.95,4.09,1.096736657E9,3.491249077E9
2020-09-20,4.93,4.97,4.42,4.67,7.98507891E8,3.983952932E9
2020-09-19,5.25,5.26,4.82,4.93,6.0526804E8,4.199640091E9
2020-09-18,5.34,5.46,5.11,5.25,6.8339818E8,4.472788249E9
2020-09-17,5.08,5.42,5.06,5.34,7.76350363E8,4.549984896E9
2020-09-16,5.07,5.28,4.99,5.08,7.92360521E8,4.331724983E9
2020-09-15,5.37,5.45,5.1,5.1,8.97864384E8,4.344841941E9
2020-09-14,5.3,5.6,5.13,5.35,1.008259712E9,4.560564714E9
2020-09-13,5.15,5.48,4.81,5.3,1.099475714E9,4.517285669E9
2020-09-12,4.65,5.28,4.52,5.14,7.53745737E8,4.380082751E9
2020-09-11,4.58,4.75,4.32,4.65,6.3347214E8,3.961031724E9
2020-09-10,4.71,4.87,4.47,4.58,6.33577674E8,3.906477359E9
2020-09-09,4.28,4.8,4.16,4.71,5.34097094E8,4.015065991E9
2020-09-08,4.59,4.62,4.12,4.27,5.19440288E8,3.644492936E9
2020-09-07,4.8,4.82,4.03,4.59,6.75375183E8,3.917633675E9
2020-09-06,4.14,4.9,3.76,4.8,9.24160482E8,4.092255324E9
2020-09-05,5.14,5.31,3.65,4.12,8.05800385E8,3.514880375E9
2020-09-04,5.73,5.98,4.63,5.15,8.45787793E8,4.387757398E9
2020-09-03,6.13,6.32,5.68,5.75,7.63663457E8,4.900906249E9
2020-09-02,6.28,6.43,5.66,6.14,5.84155028E8,5.234800947E9
2020-09-01,6.3,6.84,6.17,6.29,6.01527409E8,0.0
2020-08-31,5.91,6.46,5.77,6.3,5.12604781E8,0.0
2020-08-30,6.15,6.22,5.75,5.87,4.85335136E8,0.0
2020-08-29,6.18,6.56,6.04,6.16,5.27290028E8,0.0
2020-08-28,5.64,6.33,5.54,6.16,7.27162235E8,0.0
2020-08-27,6.08,6.79,5.31,5.63,1.289248953E9,0.0
2020-08-26,5.54,6.55,5.14,6.08,1.054351759E9,0.0
2020-08-25,4.58,5.76,4.5,5.52,8.98847538E8,0.0
2020-08-24,3.99,4.78,3.81,4.6,4.07690171E8,0.0
2020-08-23,4.49,4.49,3.72,3.97,3.20749483E8,0.0
2020-08-22,2.88,4.51,2.82,4.48,4.85801096E8,0.0
2020-08-21,2.9,3.09,2.73,2.88,4.9313137E7,0.0
2020-08-20,2.79,3.08,2.69,2.9,4.8819867E7,0.0
