date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,2.6,2.6,2.57,2.58,1.376948548E9,2.418190847E9
2020-09-29,2.57,2.61,2.57,2.6,1.395943907E9,2.437699872E9
2020-09-28,2.59,2.63,2.57,2.57,1.675478586E9,2.407609946E9
2020-09-27,2.57,2.6,2.54,2.59,1.436606329E9,2.423891891E9
2020-09-26,2.55,2.6,2.52,2.57,1.491540424E9,2.411091791E9
2020-09-25,2.54,2.56,2.48,2.55,1.685425911E9,2.38557224E9
2020-09-24,2.44,2.54,2.43,2.54,1.54607891E9,2.376449877E9
2020-09-23,2.58,2.59,2.41,2.44,1.3800741E9,2.286047363E9
2020-09-22,2.51,2.59,2.51,2.57,1.601210582E9,2.409670707E9
2020-09-21,2.68,2.69,2.51,2.51,1.987577753E9,2.354507147E9
2020-09-20,2.71,2.71,2.64,2.67,1.494188483E9,2.502855509E9
2020-09-19,2.69,2.73,2.69,2.71,1.504818954E9,2.535003469E9
2020-09-18,2.73,2.75,2.67,2.7,1.610862383E9,2.524420557E9
2020-09-17,2.72,2.77,2.7,2.73,1.85919568E9,2.557970475E9
2020-09-16,2.71,2.75,2.62,2.72,2.198598029E9,2.546007603E9
2020-09-15,2.74,2.78,2.71,2.71,1.860615702E9,2.537382951E9
2020-09-14,2.72,2.78,2.7,2.74,1.977781254E9,2.563363E9
2020-09-13,2.81,2.83,2.68,2.72,1.956722067E9,2.545692153E9
2020-09-12,2.79,2.83,2.77,2.81,1.684800439E9,2.629467997E9
2020-09-11,2.78,2.82,2.72,2.79,1.952044646E9,2.61029291E9
2020-09-10,2.76,2.84,2.76,2.78,2.21592213E9,2.604086812E9
2020-09-09,2.76,2.81,2.71,2.76,1.910271632E9,2.581374178E9
2020-09-08,2.85,2.86,2.7,2.76,2.652161786E9,2.581615515E9
2020-09-07,2.91,2.94,2.69,2.85,3.096956227E9,2.670514134E9
2020-09-06,2.93,3.01,2.84,2.91,3.139720799E9,2.725257761E9
2020-09-05,3.01,3.15,2.82,2.93,5.652060836E9,2.745288527E9
2020-09-04,2.64,3.21,2.63,3.01,5.253038602E9,2.820774273E9
2020-09-03,3.1,3.15,2.61,2.64,3.101892961E9,2.473230868E9
2020-09-02,3.48,3.5,3.01,3.1,3.355126447E9,2.901624876E9
2020-09-01,3.22,3.53,3.19,3.48,2.683850445E9,3.255148211E9
2020-08-31,3.27,3.3,3.21,3.23,1.818966406E9,3.018184515E9
2020-08-30,3.14,3.27,3.14,3.27,1.877220419E9,3.05625051E9
2020-08-29,3.12,3.2,3.09,3.14,1.655796056E9,2.935957996E9
2020-08-28,2.98,3.17,2.95,3.12,1.997932349E9,2.919465314E9
2020-08-27,3.12,3.15,2.9,2.98,2.212925741E9,2.78689013E9
2020-08-26,3.13,3.16,3.07,3.13,1.929872365E9,2.923938315E9
2020-08-25,3.39,3.39,3.05,3.14,2.4968958E9,2.936105592E9
2020-08-24,3.33,3.41,3.3,3.39,1.971274605E9,3.171834505E9
2020-08-23,3.36,3.38,3.25,3.33,1.814438208E9,3.110701509E9
2020-08-22,3.26,3.37,3.2,3.37,2.36295802E9,3.151627361E9
2020-08-21,3.44,3.61,3.26,3.27,3.522494003E9,3.054773368E9
2020-08-20,3.35,3.45,3.35,3.44,2.36765077E9,3.218091664E9
2020-08-19,3.59,3.63,3.25,3.35,3.37169379E9,3.130546753E9
2020-08-18,3.77,3.81,3.57,3.59,2.998442461E9,3.356576444E9
2020-08-17,3.88,3.91,3.76,3.77,3.771695207E9,3.527150319E9
2020-08-16,3.73,3.92,3.56,3.88,4.778869235E9,3.627677086E9
2020-08-15,3.25,3.83,3.25,3.73,5.11599683E9,3.492499476E9
2020-08-14,3.18,3.3,3.13,3.25,2.929453441E9,3.043959416E9
2020-08-13,3.06,3.19,2.94,3.18,2.530322368E9,2.974829392E9
2020-08-12,3.02,3.09,2.92,3.06,2.355373645E9,2.861631421E9
2020-08-11,3.24,3.29,2.93,3.02,2.986817654E9,2.826440807E9
2020-08-10,3.03,3.28,3.03,3.24,2.882321248E9,3.028185139E9
2020-08-09,3.06,3.09,2.98,3.03,1.605604936E9,2.83622873E9
2020-08-08,3.02,3.09,2.99,3.05,1.658324422E9,2.855137001E9
2020-08-07,3.09,3.24,2.88,3.02,2.948024705E9,2.819320712E9
2020-08-06,3.06,3.16,3.01,3.09,2.103644595E9,2.891125195E9
2020-08-05,3.04,3.1,3.02,3.06,1.7760689E9,2.860164295E9
2020-08-04,3.05,3.09,2.98,3.03,1.917603813E9,2.836860796E9
2020-08-03,2.94,3.12,2.92,3.05,1.957244385E9,2.849181E9
2020-08-02,3.3,3.47,2.76,2.94,3.543069424E9,2.748482971E9
2020-08-01,3.09,3.3,3.07,3.29,2.51349724E9,3.077741993E9
2020-07-31,3.05,3.13,3.01,3.09,1.924546686E9,2.890156382E9
2020-07-30,3.03,3.09,2.97,3.05,1.995862816E9,2.85215858E9
2020-07-29,2.99,3.14,2.96,3.03,2.339032886E9,2.828409163E9
2020-07-28,2.85,3.06,2.79,2.99,2.516881096E9,2.798018531E9
2020-07-27,2.71,2.91,2.68,2.84,2.596598127E9,2.655251089E9
2020-07-26,2.72,2.79,2.69,2.71,1.804564879E9,2.536659504E9
2020-07-25,2.59,2.74,2.59,2.73,1.616310906E9,2.547958629E9
2020-07-24,2.65,2.65,2.58,2.59,1.292901834E9,2.424275394E9
2020-07-23,2.66,2.68,2.64,2.65,1.4172522E9,2.478055403E9
2020-07-22,2.62,2.66,2.59,2.66,1.24744046E9,2.48382657E9
2020-07-21,2.56,2.63,2.56,2.62,1.226905731E9,2.445753209E9
2020-07-20,2.58,2.6,2.54,2.56,1.171151594E9,2.394994817E9
2020-07-19,2.5,2.59,2.48,2.58,1.128667004E9,2.408456951E9
2020-07-18,2.5,2.52,2.48,2.5,8.6031778E8,2.335791021E9
2020-07-17,2.5,2.52,2.48,2.5,9.50656644E8,2.331780279E9
2020-07-16,2.53,2.55,2.46,2.5,1.315835446E9,2.332971713E9
2020-07-15,2.56,2.56,2.51,2.53,1.229856933E9,2.367496924E9
2020-07-14,2.55,2.57,2.51,2.56,1.295225304E9,2.388904352E9
2020-07-13,2.61,2.64,2.51,2.55,1.342425176E9,2.38636686E9
2020-07-12,2.62,2.65,2.59,2.61,9.82699897E8,2.440896878E9
2020-07-11,2.62,2.63,2.6,2.62,9.26884552E8,2.447563109E9
2020-07-10,2.66,2.66,2.57,2.62,1.185884832E9,2.447120763E9
2020-07-09,2.68,2.71,2.6,2.66,1.500819023E9,2.482241648E9
2020-07-08,2.56,2.69,2.54,2.68,1.697062548E9,2.500215199E9
2020-07-07,2.61,2.62,2.51,2.56,1.16017966E9,2.38788169E9
2020-07-06,2.41,2.62,2.4,2.61,1.650951585E9,2.43919558E9
2020-07-05,2.46,2.47,2.36,2.41,1.006404927E9,2.24840701E9
2020-07-04,2.42,2.49,2.41,2.46,1.014696747E9,2.297267584E9
2020-07-03,2.38,2.46,2.36,2.42,1.060283792E9,2.259964265E9
2020-07-02,2.37,2.39,2.32,2.39,1.025776231E9,2.228260452E9
2020-07-01,2.36,2.39,2.35,2.37,1.076905668E9,2.214101635E9
2020-06-30,2.37,2.39,2.34,2.36,9.31091007E8,2.20236141E9
2020-06-29,2.36,2.4,2.32,2.38,1.210910579E9,2.218284609E9
2020-06-28,2.35,2.4,2.32,2.36,1.149400723E9,2.20477496E9
2020-06-27,2.47,2.49,2.28,2.35,1.484900423E9,2.194236408E9
2020-06-26,2.48,2.5,2.41,2.47,1.461058042E9,2.308747168E9
2020-06-25,2.49,2.51,2.45,2.48,1.097051183E9,2.315845968E9
2020-06-24,2.58,2.58,2.46,2.49,1.339866596E9,2.32894069E9
2020-06-23,2.56,2.59,2.53,2.57,1.080367867E9,2.404025055E9
2020-06-22,2.52,2.57,2.51,2.56,1.344062923E9,2.390667573E9
2020-06-21,2.52,2.54,2.5,2.52,1.079575379E9,2.349397863E9
2020-06-20,2.5,2.54,2.47,2.52,1.260873457E9,2.355096828E9
2020-06-19,2.53,2.54,2.5,2.5,1.210060849E9,2.338749875E9
2020-06-18,2.56,2.57,2.51,2.53,1.172326294E9,2.36514611E9
2020-06-17,2.55,2.58,2.53,2.56,1.516712073E9,2.387137601E9
2020-06-16,2.53,2.56,2.52,2.55,1.380866138E9,2.376531375E9
2020-06-15,2.58,2.58,2.45,2.53,1.934626454E9,2.361683668E9
2020-06-14,2.6,2.61,2.55,2.58,1.387842937E9,2.405339451E9
2020-06-13,2.6,2.61,2.57,2.6,1.398712592E9,2.430040652E9
2020-06-12,2.54,2.62,2.51,2.6,1.793582062E9,2.426185658E9
2020-06-11,2.77,2.79,2.5,2.53,2.439417321E9,2.365921919E9
2020-06-10,2.76,2.78,2.74,2.77,1.622529794E9,2.583737622E9
2020-06-09,2.79,2.79,2.72,2.76,1.649206194E9,2.58014554E9
2020-06-08,2.82,2.82,2.76,2.78,1.763837008E9,2.598644424E9
2020-06-07,2.8,2.83,2.74,2.82,1.914784279E9,2.628357334E9
2020-06-06,2.82,2.85,2.78,2.8,1.858177708E9,2.608628064E9
2020-06-05,2.72,2.86,2.71,2.82,2.247891637E9,2.634221668E9
2020-06-04,2.7,2.73,2.67,2.72,1.818900096E9,2.541581209E9
2020-06-03,2.68,2.7,2.65,2.7,1.786411018E9,2.516159532E9
2020-06-02,2.82,2.89,2.64,2.68,2.931746699E9,2.499160414E9
2020-06-01,2.67,2.82,2.67,2.81,2.380045715E9,2.62647879E9
2020-05-31,2.76,2.76,2.66,2.67,2.161363681E9,2.491563531E9
2020-05-30,2.61,2.77,2.59,2.76,2.210704952E9,2.576884318E9
2020-05-29,2.62,2.67,2.6,2.61,2.001356933E9,2.434453956E9
2020-05-28,2.56,2.62,2.53,2.62,1.863387715E9,2.441711521E9
2020-05-27,2.5,2.57,2.5,2.56,1.848037117E9,2.391641596E9
2020-05-26,2.54,2.55,2.47,2.5,1.729219371E9,2.330178499E9
2020-05-25,2.51,2.54,2.48,2.54,1.904348324E9,2.368218553E9
2020-05-24,2.57,2.6,2.51,2.51,2.24115425E9,2.340299894E9
2020-05-23,2.6,2.61,2.55,2.57,1.990987499E9,2.398067877E9
2020-05-22,2.47,2.62,2.45,2.6,2.362296582E9,2.422717866E9
2020-05-21,2.6,2.61,2.43,2.47,2.505696721E9,2.305367706E9
2020-05-20,2.63,2.66,2.56,2.6,2.83485177E9,2.421830449E9
2020-05-19,2.66,2.66,2.59,2.63,2.735454853E9,2.457601291E9
2020-05-18,2.62,2.73,2.61,2.66,3.408005115E9,2.452069102E9
2020-05-17,2.62,2.66,2.6,2.62,2.82222503E9,2.413634126E9
2020-05-16,2.59,2.67,2.57,2.63,3.304379145E9,2.422299125E9
2020-05-15,2.61,2.65,2.56,2.59,3.790383647E9,2.389693107E9
2020-05-14,2.52,2.64,2.49,2.61,3.811640952E9,2.40839892E9
2020-05-13,2.44,2.55,2.43,2.53,2.722953505E9,2.330404454E9
2020-05-12,2.41,2.46,2.4,2.44,2.775852386E9,2.248413464E9
2020-05-11,2.45,2.47,2.32,2.41,4.001039334E9,2.221697326E9
2020-05-10,2.76,2.76,2.33,2.45,5.587247809E9,2.262421181E9
2020-05-09,2.76,2.82,2.75,2.76,3.605845331E9,2.546693084E9
2020-05-08,2.75,2.82,2.71,2.76,3.840881092E9,2.547328096E9
2020-05-07,2.7,2.79,2.65,2.76,4.356003367E9,2.542447618E9
2020-05-06,2.77,2.81,2.69,2.69,3.394425326E9,2.483073111E9
2020-05-05,2.78,2.82,2.74,2.77,3.328991108E9,2.55406632E9
2020-05-04,2.84,2.85,2.68,2.78,4.187375648E9,2.565454214E9
2020-05-03,2.95,3.0,2.81,2.84,4.243384763E9,2.621533308E9
2020-05-02,2.89,2.95,2.87,2.95,3.292642052E9,2.717153022E9
2020-05-01,2.83,2.94,2.83,2.89,3.443984875E9,2.662300025E9
2020-04-30,3.02,3.1,2.81,2.83,5.827201786E9,2.613048284E9
2020-04-29,2.79,3.05,2.77,3.02,6.037081953E9,2.783103988E9
2020-04-28,2.75,2.79,2.72,2.78,3.420181472E9,2.566735352E9
2020-04-27,2.74,2.82,2.72,2.75,3.969601326E9,2.532476238E9
2020-04-26,2.72,2.77,2.7,2.74,3.293859536E9,2.522135022E9
