date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,5.42,5.44,5.29,5.41,3.10144532E8,6.28776849E8
2020-09-29,5.43,5.46,5.35,5.42,3.4476494E8,6.30581184E8
2020-09-28,5.46,5.6,5.42,5.43,4.52843055E8,6.31605666E8
2020-09-27,5.39,5.75,5.38,5.46,5.59874336E8,6.35596271E8
2020-09-26,5.02,5.44,5.02,5.39,5.35473245E8,6.2708234E8
2020-09-25,5.02,5.05,4.9,5.01,3.77619132E8,5.8310724E8
2020-09-24,4.88,5.04,4.84,5.02,4.82576369E8,5.84188209E8
2020-09-23,4.97,5.01,4.85,4.88,6.73732019E8,5.67500226E8
2020-09-22,4.88,5.0,4.79,4.97,7.43445295E8,5.78082569E8
2020-09-21,5.12,5.15,4.7,4.87,9.41205369E8,5.66759971E8
2020-09-20,5.25,5.25,5.05,5.11,6.02081639E8,5.94351065E8
2020-09-19,5.22,5.28,5.19,5.26,4.91693943E8,6.11305773E8
2020-09-18,5.23,5.24,5.11,5.23,5.8584366E8,6.08627285E8
2020-09-17,5.16,5.25,5.12,5.23,5.72999419E8,6.08824174E8
2020-09-16,5.21,5.21,5.08,5.16,6.63689104E8,6.00532767E8
2020-09-15,5.18,5.34,5.17,5.21,7.71249844E8,6.05851027E8
2020-09-14,5.07,5.26,5.03,5.19,6.88824616E8,6.03438445E8
2020-09-13,5.26,5.37,5.01,5.08,6.74335392E8,5.90306742E8
2020-09-12,5.24,5.28,5.18,5.26,7.44301331E8,6.11576869E8
2020-09-11,5.21,5.26,5.09,5.24,1.099058524E9,6.08964079E8
2020-09-10,5.08,5.24,5.07,5.21,9.41957394E8,6.05844992E8
2020-09-09,5.1,5.16,5.0,5.07,9.15539324E8,5.90119521E8
2020-09-08,5.12,5.21,4.98,5.1,1.008973015E9,5.93472315E8
2020-09-07,5.19,5.22,4.91,5.11,7.293766E8,5.94841272E8
2020-09-06,5.05,5.44,4.97,5.19,6.53562868E8,6.04010283E8
2020-09-05,5.38,5.45,4.91,5.05,9.59438111E8,5.87141799E8
2020-09-04,5.65,5.65,4.98,5.36,1.057957439E9,6.23838988E8
2020-09-03,6.31,6.36,4.9,5.67,6.82999663E8,6.59720521E8
2020-09-02,6.76,6.81,6.22,6.32,6.29725612E8,7.34844435E8
2020-09-01,6.61,6.83,6.55,6.76,6.54830012E8,7.86579197E8
2020-08-31,6.7,6.76,6.57,6.61,5.39993003E8,7.68949331E8
2020-08-30,6.52,6.69,6.47,6.69,6.87597705E8,7.77602185E8
2020-08-29,6.5,6.65,6.49,6.53,6.14938597E8,7.59616414E8
2020-08-28,6.36,6.63,6.32,6.51,6.12795217E8,7.57152462E8
2020-08-27,6.48,6.73,6.28,6.36,6.8646197E8,7.39386537E8
2020-08-26,6.5,6.55,6.44,6.48,5.8490507E8,7.53826147E8
2020-08-25,6.87,6.87,6.41,6.5,6.12092126E8,7.55823125E8
2020-08-24,6.78,6.9,6.73,6.86,5.52674423E8,7.98416654E8
2020-08-23,6.78,6.83,6.64,6.78,5.46905153E8,7.88316806E8
2020-08-22,6.65,6.79,6.58,6.78,5.8424905E8,7.89026064E8
2020-08-21,6.98,7.09,6.66,6.67,6.13628634E8,7.75302284E8
2020-08-20,6.82,7.04,6.78,6.98,5.5230352E8,8.11543097E8
2020-08-19,7.29,7.4,6.71,6.81,7.52855503E8,7.9261149E8
2020-08-18,7.37,7.77,7.24,7.29,8.63281171E8,8.47905013E8
2020-08-17,7.24,7.51,7.14,7.37,8.02217402E8,8.57749428E8
2020-08-16,7.2,7.29,7.01,7.24,7.6905573E8,8.42639848E8
2020-08-15,6.88,7.28,6.88,7.2,7.86821353E8,8.37083021E8
2020-08-14,7.01,7.06,6.85,6.88,6.56398497E8,8.00743448E8
2020-08-13,6.83,7.06,6.6,7.02,7.10580436E8,8.16773426E8
2020-08-12,6.77,6.86,6.54,6.83,6.70533879E8,7.94055715E8
2020-08-11,7.07,7.18,6.55,6.77,7.72362352E8,7.87019543E8
2020-08-10,6.9,7.13,6.84,7.07,7.44754117E8,8.22028413E8
2020-08-09,6.93,7.18,6.77,6.89,7.11013786E8,8.0181656E8
2020-08-08,6.88,6.98,6.8,6.91,6.3780795E8,8.03198338E8
2020-08-07,7.1,7.26,6.71,6.88,9.32695027E8,8.00370261E8
2020-08-06,7.23,7.25,7.03,7.11,7.78677628E8,8.27290558E8
2020-08-05,7.13,7.35,7.1,7.23,7.11927892E8,8.41306046E8
2020-08-04,7.17,7.25,7.06,7.13,7.5584737E8,8.29554189E8
2020-08-03,7.18,7.34,7.09,7.17,8.54381374E8,8.33740998E8
2020-08-02,7.82,8.23,6.91,7.18,1.219211807E9,8.34976145E8
2020-08-01,7.41,7.9,7.32,7.81,1.10687039E9,9.08985742E8
2020-07-31,7.35,7.56,7.27,7.41,9.1157284E8,8.61699774E8
2020-07-30,7.28,7.46,7.05,7.35,8.51785157E8,8.55198992E8
2020-07-29,7.23,7.52,7.16,7.27,9.2378291E8,8.45734832E8
2020-07-28,7.12,7.37,6.85,7.23,1.079244852E9,8.40625944E8
2020-07-27,6.62,7.32,6.62,7.11,1.204981144E9,8.27014203E8
2020-07-26,6.68,6.86,6.49,6.62,7.38583538E8,7.70020737E8
2020-07-25,6.25,6.7,6.24,6.68,6.91476129E8,7.76607881E8
2020-07-24,6.43,6.43,6.22,6.25,5.64877717E8,7.27178354E8
2020-07-23,6.35,6.48,6.3,6.42,6.23580969E8,7.47190377E8
2020-07-22,6.17,6.37,6.11,6.34,5.5058271E8,7.37944681E8
2020-07-21,6.04,6.18,6.02,6.17,5.36241008E8,7.1793077E8
2020-07-20,6.08,6.18,6.01,6.04,4.94239655E8,7.02216406E8
2020-07-19,6.04,6.1,5.97,6.08,4.7108749E8,7.07077789E8
2020-07-18,6.03,6.1,5.95,6.04,4.63666673E8,7.0287071E8
2020-07-17,6.03,6.1,5.97,6.03,5.4980644E8,7.01271266E8
2020-07-16,6.22,6.25,5.95,6.03,6.36508435E8,7.00836272E8
2020-07-15,6.32,6.35,6.19,6.22,5.78896464E8,7.22980536E8
2020-07-14,6.3,6.32,6.18,6.32,5.77979368E8,7.35031212E8
2020-07-13,6.45,6.53,6.23,6.31,5.60726589E8,7.33430672E8
2020-07-12,6.51,6.55,6.38,6.45,4.92359785E8,7.50222917E8
2020-07-11,6.38,6.55,6.38,6.51,5.59981464E8,7.57012755E8
2020-07-10,6.67,6.67,6.28,6.38,6.24332622E8,7.41857545E8
2020-07-09,6.63,6.77,6.43,6.67,8.74499722E8,7.75705924E8
2020-07-08,6.21,6.63,6.14,6.63,7.01385528E8,7.71188067E8
2020-07-07,6.1,6.31,5.96,6.21,6.27000193E8,7.22466093E8
2020-07-06,5.65,6.14,5.65,6.1,6.30686359E8,7.09687812E8
2020-07-05,5.7,5.71,5.55,5.65,4.36857863E8,6.57711746E8
2020-07-04,5.65,5.74,5.65,5.7,4.09246657E8,6.62599335E8
2020-07-03,5.71,5.73,5.62,5.66,3.73323476E8,6.57908695E8
2020-07-02,5.72,5.8,5.6,5.72,4.23367188E8,6.64779119E8
2020-07-01,5.73,5.79,5.65,5.72,4.46564362E8,6.65083077E8
2020-06-30,5.83,5.86,5.7,5.73,4.33251874E8,6.67023181E8
2020-06-29,5.76,5.88,5.74,5.83,5.33800507E8,6.78288187E8
2020-06-28,5.61,5.84,5.56,5.76,4.62999765E8,6.69925644E8
2020-06-27,6.04,6.07,5.44,5.61,5.34396395E8,6.52810381E8
2020-06-26,6.16,6.18,6.03,6.04,4.4443872E8,7.024859E8
2020-06-25,6.22,6.25,6.11,6.16,4.35301522E8,7.16206447E8
2020-06-24,6.39,6.52,6.17,6.22,5.26968781E8,7.23762979E8
2020-06-23,6.36,6.42,6.28,6.39,5.51108487E8,7.42940365E8
2020-06-22,6.22,6.37,6.21,6.36,5.6156505E8,7.39695672E8
2020-06-21,6.25,6.29,6.2,6.22,5.08650064E8,7.23550313E8
2020-06-20,6.31,6.36,6.18,6.25,6.0539906E8,7.27422062E8
2020-06-19,6.22,6.4,6.17,6.31,6.58458958E8,7.33941144E8
2020-06-18,6.28,6.29,6.13,6.23,5.12432929E8,7.24109484E8
2020-06-17,6.25,6.34,6.18,6.28,6.27966131E8,7.30234516E8
2020-06-16,6.25,6.31,6.18,6.25,6.05751792E8,7.27051657E8
2020-06-15,6.35,6.35,6.03,6.25,7.1261754E8,7.27343564E8
2020-06-14,6.5,6.5,6.31,6.35,6.05317659E8,7.38808721E8
2020-06-13,6.42,6.51,6.36,6.5,6.42231893E8,7.55771355E8
2020-06-12,6.28,6.47,6.23,6.42,7.33932453E8,7.46335212E8
2020-06-11,6.81,6.83,6.17,6.29,8.07881145E8,7.31120316E8
2020-06-10,6.81,6.84,6.72,6.81,6.59043308E8,7.91839257E8
2020-06-09,6.9,6.9,6.76,6.81,7.30110943E8,7.91539709E8
2020-06-08,6.85,6.9,6.74,6.9,7.85110815E8,8.02390274E8
2020-06-07,6.85,6.89,6.67,6.85,1.005669612E9,7.96352761E8
2020-06-06,6.87,6.95,6.8,6.85,9.37320669E8,7.96826892E8
2020-06-05,6.93,6.97,6.81,6.87,1.043967573E9,7.98817735E8
2020-06-04,6.94,7.03,6.82,6.93,1.164672923E9,8.05782501E8
2020-06-03,6.96,6.99,6.87,6.94,1.197427709E9,8.07006313E8
2020-06-02,7.2,7.31,6.82,6.96,1.473469097E9,8.09481012E8
2020-06-01,6.93,7.23,6.89,7.21,1.604432E9,8.38781325E8
2020-05-31,7.48,7.49,6.72,6.93,1.500617569E9,8.06373306E8
2020-05-30,7.24,7.5,7.12,7.49,1.48306691E9,8.70747258E8
2020-05-29,6.85,7.26,6.85,7.24,1.510000396E9,8.41881427E8
2020-05-28,6.78,6.87,6.71,6.85,1.199343323E9,7.96829301E8
2020-05-27,6.7,6.82,6.67,6.78,1.285148249E9,7.8852414E8
2020-05-26,6.81,6.83,6.57,6.7,1.291253572E9,7.79349716E8
2020-05-25,6.61,6.89,6.56,6.81,1.47776658E9,7.91977567E8
2020-05-24,6.59,6.77,6.55,6.61,1.422089791E9,7.68903377E8
2020-05-23,6.47,6.62,6.37,6.59,1.190218864E9,7.66212149E8
2020-05-22,6.14,6.58,6.09,6.47,1.37953112E9,7.52064931E8
2020-05-21,6.44,6.52,5.96,6.14,1.314068624E9,7.14216548E8
2020-05-20,6.64,6.68,6.36,6.44,1.311339518E9,7.49588557E8
2020-05-19,6.71,6.71,6.6,6.65,1.313089147E9,7.73015444E8
