date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,359.94,361.21,353.61,360.02,9.773649426E9,4.0618062958E10
2020-09-29,354.97,360.79,351.82,359.96,1.0286529445E10,4.0606618322E10
2020-09-28,357.31,366.89,354.83,354.95,1.2102509266E10,4.0036419309E10
2020-09-27,354.59,362.05,349.09,357.32,1.1464393949E10,4.0299122534E10
2020-09-26,352.53,355.96,348.13,354.97,1.1036752997E10,4.0028658786E10
2020-09-25,349.36,357.96,339.35,352.16,1.225426935E10,3.9707796831E10
2020-09-24,320.62,351.46,318.42,349.36,1.3460565701E10,3.9386790871E10
2020-09-23,344.62,345.64,317.69,320.59,1.2047020995E10,3.6138749222E10
2020-09-22,341.72,346.6,336.86,344.5,1.2732578043E10,3.8830213878E10
2020-09-21,371.4,375.74,336.07,341.79,1.7398267133E10,3.8519366615E10
2020-09-20,385.6,385.6,367.09,371.05,1.2292195784E10,4.1812641074E10
2020-09-19,384.04,387.08,378.72,385.54,1.1049507684E10,4.3440360815E10
2020-09-18,389.34,391.9,376.96,384.36,1.410835774E10,4.3302193327E10
2020-09-17,365.87,393.9,364.8,389.02,1.989953108E10,4.3821351213E10
2020-09-16,364.74,372.77,356.68,365.81,1.6107612177E10,4.1202147932E10
2020-09-15,377.15,381.51,363.61,364.84,1.6140584321E10,4.1087642853E10
2020-09-14,365.7,384.49,357.57,377.27,1.7536695361E10,4.2482307939E10
2020-09-13,387.52,388.96,354.34,365.57,1.5005899191E10,4.1160025962E10
2020-09-12,374.6,387.54,367.84,387.18,1.3295405814E10,4.3588199422E10
2020-09-11,368.12,376.63,355.58,374.7,2.7296269329E10,4.2177302259E10
2020-09-10,351.43,377.39,351.11,368.1,3.1421134556E10,4.1430053162E10
2020-09-09,337.82,359.16,332.16,351.11,1.454793352E10,3.951282617E10
2020-09-08,353.2,355.56,328.82,337.6,1.7991403432E10,3.7988119627E10
2020-09-07,353.45,358.21,326.25,352.67,2.1763614732E10,3.967919932E10
2020-09-06,335.33,359.76,319.04,353.36,2.7643678917E10,3.9751917523E10
2020-09-05,388.04,394.17,316.77,335.26,2.988004764E10,3.7710860058E10
2020-09-04,384.67,402.41,371.64,388.24,1.6747106257E10,4.3665020996E10
2020-09-03,440.24,449.53,381.13,385.67,1.9622845896E10,4.3370721326E10
2020-09-02,477.01,480.33,424.46,440.04,1.9691854014E10,4.9478789435E10
2020-09-01,434.87,487.21,432.08,477.05,1.8862763756E10,5.363393356E10
2020-08-31,428.51,438.56,419.77,435.08,1.2774741797E10,4.8909170052E10
2020-08-30,399.62,428.66,399.61,428.4,1.121194804E10,4.8151884394E10
2020-08-29,395.69,405.62,393.04,399.92,8.777703481E9,4.494589948E10
2020-08-28,382.63,397.76,381.27,395.87,9.120674421E9,4.4485705032E10
2020-08-27,386.61,395.35,374.87,382.63,1.0457777652E10,4.2992439543E10
2020-08-26,383.98,391.87,378.71,386.47,9.967343483E9,4.3417926668E10
2020-08-25,408.07,408.53,374.36,384.0,1.2428442042E10,4.3135697974E10
2020-08-24,391.68,409.39,389.31,408.14,1.0328860398E10,4.5842265023E10
2020-08-23,395.56,396.49,385.04,391.38,8.13730397E9,4.3954518396E10
2020-08-22,389.03,396.47,382.81,395.84,1.0131847985E10,4.4448918222E10
2020-08-21,416.15,418.64,387.44,389.13,1.1781796374E10,4.3690315907E10
2020-08-20,406.76,418.73,404.03,416.44,1.0043032427E10,4.6751356941E10
2020-08-19,423.74,427.02,396.68,406.46,1.3137391167E10,4.5625864918E10
2020-08-18,429.67,432.58,419.67,423.67,1.1978984079E10,4.7551407033E10
2020-08-17,433.97,442.73,422.65,429.53,1.322708941E10,4.8203426751E10
2020-08-16,433.35,436.27,415.09,433.79,1.2168816874E10,4.8675162267E10
2020-08-15,437.56,441.75,429.87,433.35,1.2416067894E10,4.8620820125E10
2020-08-14,428.68,444.58,423.35,437.4,1.5064589987E10,4.9068474083E10
2020-08-13,390.84,432.9,379.71,428.74,1.8480303526E10,4.8091569052E10
2020-08-12,380.06,391.31,367.92,391.02,1.2408772745E10,4.3855501072E10
2020-08-11,395.89,398.48,370.86,380.38,1.2792218737E10,4.2656945169E10
2020-08-10,391.04,399.38,391.04,395.89,1.1685827893E10,4.4390142137E10
2020-08-09,395.31,399.74,385.83,391.12,9.451065592E9,4.3850292041E10
2020-08-08,379.55,393.99,377.35,393.99,9.342060531E9,4.4166324646E10
2020-08-07,395.23,398.25,367.94,379.51,1.2751687084E10,4.253857885E10
2020-08-06,401.58,403.49,392.6,394.96,1.1304626458E10,4.4264836294E10
2020-08-05,389.71,406.3,386.22,401.59,1.2875466638E10,4.5002213069E10
2020-08-04,386.16,400.7,382.99,389.88,1.4086704221E10,4.3684129572E10
2020-08-03,371.13,396.51,369.34,386.3,1.2834648062E10,4.3277729882E10
2020-08-02,385.55,411.23,357.14,370.67,1.8909744275E10,4.1522323563E10
2020-08-01,345.8,388.85,343.59,385.2,1.4045259477E10,4.3144477508E10
2020-07-31,334.63,348.61,329.34,345.55,1.2030600492E10,3.8699278449E10
2020-07-30,318.14,338.63,315.75,334.59,1.1827689045E10,3.7466380887E10
2020-07-29,316.56,324.38,313.11,318.19,1.0878845706E10,3.5626126751E10
2020-07-28,321.83,325.91,307.72,316.66,1.2357108065E10,3.54500976E10
2020-07-27,309.66,330.7,309.66,321.51,1.5644257058E10,3.5989428749E10
2020-07-26,303.69,316.39,300.27,309.64,1.2003973026E10,3.4656472193E10
2020-07-25,279.03,306.74,279.03,304.06,1.0785021813E10,3.402700273E10
2020-07-24,274.72,286.19,269.24,279.22,9.466060358E9,3.1243266716E10
2020-07-23,262.39,277.58,261.05,274.69,1.0281309262E10,3.0733019165E10
2020-07-22,245.04,262.99,242.48,262.19,7.702077383E9,2.9331058164E10
2020-07-21,236.3,246.19,235.68,245.02,6.806696015E9,2.7406496758E10
2020-07-20,238.49,239.58,234.85,236.15,5.600686192E9,2.6411853756E10
2020-07-19,235.46,239.16,233.28,238.49,6.251377305E9,2.6669691075E10
2020-07-18,232.86,236.54,232.32,235.48,5.397402117E9,2.6330601164E10
2020-07-17,233.69,234.42,232.11,232.77,5.859850529E9,2.6024301468E10
2020-07-16,238.45,239.01,231.62,233.64,5.832057567E9,2.6118155895E10
2020-07-15,240.14,241.4,237.1,238.42,6.189328448E9,2.6649577378E10
2020-07-14,239.98,242.0,237.8,240.21,7.357458555E9,2.6846147251E10
2020-07-13,242.18,244.31,238.23,239.6,7.787751468E9,2.6775071858E10
2020-07-12,239.46,243.31,237.77,242.13,6.596394718E9,2.7054158346E10
2020-07-11,241.04,241.53,238.33,239.46,5.643067316E9,2.6752161985E10
2020-07-10,242.87,242.88,236.73,240.98,7.281370522E9,2.6919422187E10
2020-07-09,246.75,247.29,239.9,243.02,8.429099199E9,2.7143016879E10
2020-07-08,239.16,248.31,238.4,246.67,9.892586411E9,2.7547785703E10
2020-07-07,240.97,242.68,234.22,239.08,6.441497597E9,2.6696376073E10
2020-07-06,227.69,242.13,227.03,241.51,8.782917553E9,2.6964937043E10
2020-07-05,228.98,229.86,224.54,227.66,5.292172429E9,2.5415950649E10
2020-07-04,225.29,230.05,225.13,229.07,5.228310135E9,2.5570190315E10
2020-07-03,229.32,229.63,224.91,225.39,5.1090327E9,2.51555716E10
2020-07-02,231.29,232.4,225.46,229.39,6.212210566E9,2.5599453477E10
2020-07-01,226.13,232.76,224.84,231.11,6.463737443E9,2.578840435E10
2020-06-30,227.97,229.48,224.82,226.31,6.094093001E9,2.524991373E10
2020-06-29,225.36,229.9,222.25,228.19,6.726164653E9,2.5456513994E10
2020-06-28,222.91,228.6,219.47,225.35,6.205925718E9,2.5135786986E10
2020-06-27,229.63,232.49,220.56,222.96,6.918380955E9,2.4866429445E10
2020-06-26,232.88,233.9,229.26,229.67,7.187490226E9,2.5611500297E10
2020-06-25,235.7,236.05,230.3,232.94,7.010426122E9,2.5973707946E10
2020-06-24,244.19,248.51,232.81,235.77,8.815030025E9,2.6285822239E10
2020-06-23,242.54,244.86,239.76,244.14,6.624530348E9,2.7215606543E10
2020-06-22,229.0,243.78,228.93,242.53,9.079586552E9,2.7032930743E10
2020-06-21,229.22,232.36,228.49,228.99,5.600408178E9,2.5520273837E10
2020-06-20,226.98,231.45,226.64,229.27,6.252830566E9,2.5548837121E10
2020-06-19,231.95,232.15,226.8,227.14,6.94637259E9,2.5307718819E10
2020-06-18,232.9,234.57,228.95,232.1,6.713800872E9,2.5857495155E10
2020-06-17,234.49,235.95,229.34,233.03,7.701391592E9,2.5957610764E10
2020-06-16,229.76,236.39,228.43,234.42,7.965648016E9,2.6109047392E10
2020-06-15,234.06,234.24,221.24,229.93,1.0536099884E10,2.5606145743E10
2020-06-14,238.97,239.1,232.96,234.11,7.439385176E9,2.6069111857E10
2020-06-13,237.54,239.19,235.89,238.91,7.14162498E9,2.659967955E10
2020-06-12,231.63,239.35,229.65,237.49,8.868955009E9,2.643882742E10
2020-06-11,247.55,249.89,229.94,231.7,1.235652886E10,2.5791024831E10
2020-06-10,244.82,248.65,242.82,247.44,8.792990206E9,2.7539945413E10
2020-06-09,246.18,248.34,242.34,244.91,8.446545788E9,2.7254678255E10
2020-06-08,245.18,246.64,241.54,246.31,8.076783299E9,2.7406923226E10
2020-06-07,241.91,245.44,236.33,245.17,9.544883157E9,2.7276459502E10
2020-06-06,241.2,245.98,239.72,241.93,8.114873845E9,2.6913140925E10
2020-06-05,244.35,247.33,240.68,241.22,9.293963914E9,2.6830954614E10
2020-06-04,244.11,245.93,236.77,244.43,1.0170414304E10,2.7184018611E10
2020-06-03,237.4,244.18,235.46,244.18,9.861760817E9,2.7153238868E10
2020-06-02,246.83,252.22,233.23,237.22,1.3782107567E10,2.637603189E10
2020-06-01,230.86,248.24,230.49,246.99,1.3951727936E10,2.7459257209E10
2020-05-31,242.35,244.05,230.05,230.98,1.2234904813E10,2.5675542329E10
2020-05-30,220.72,243.94,218.74,242.35,1.5027397867E10,2.6936114604E10
2020-05-29,219.93,224.22,218.24,220.68,1.2265816557E10,2.4524484269E10
2020-05-28,208.89,220.28,206.24,219.84,1.2212469604E10,2.4428738047E10
2020-05-27,201.89,208.86,201.79,208.86,1.0631034756E10,2.3206144127E10
2020-05-26,205.26,205.75,200.26,201.9,1.015974129E10,2.2429962991E10
2020-05-25,201.98,206.36,200.67,205.32,1.0415044124E10,2.2806813423E10
2020-05-24,208.72,210.6,202.37,202.37,1.1833299572E10,2.247647175E10
2020-05-23,207.19,210.39,205.29,208.69,1.0665476768E10,2.3176030659E10
2020-05-22,199.84,208.59,198.04,207.17,1.2041592114E10,2.3003786385E10
2020-05-21,210.13,211.63,193.35,199.88,1.3308321229E10,2.219210965E10
2020-05-20,213.45,214.72,207.98,210.1,1.2730175511E10,2.3323160696E10
2020-05-19,214.6,214.6,210.14,213.45,1.4346192779E10,2.3692625224E10
2020-05-18,207.18,215.91,207.11,214.53,1.7411566928E10,2.3808928396E10
2020-05-17,200.61,209.16,200.1,207.16,1.5470397303E10,2.2988575488E10
2020-05-16,195.61,202.77,194.5,200.68,1.5379081645E10,2.2266558227E10
