date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,10.11,10.17,9.65,9.86,1.232672628E9,3.45018502E9
2020-09-29,10.31,10.33,9.5,10.11,1.580153993E9,3.538919014E9
2020-09-28,10.77,11.01,10.3,10.32,1.30177348E9,3.611155908E9
2020-09-27,10.34,10.93,10.02,10.77,1.3185657E9,3.770817275E9
2020-09-26,10.72,11.04,10.06,10.34,1.538966512E9,3.617325408E9
2020-09-25,9.83,11.15,9.47,10.72,2.078331373E9,3.750405772E9
2020-09-24,7.68,10.33,7.57,9.83,2.186508479E9,3.441637952E9
2020-09-23,8.77,8.82,7.47,7.69,1.372140031E9,2.690037081E9
2020-09-22,8.75,9.08,8.67,8.76,9.59332861E8,3.06746462E9
2020-09-21,9.76,9.9,8.62,8.76,1.586349748E9,3.065979266E9
2020-09-20,10.14,10.58,9.6,9.77,9.51116672E8,3.418842857E9
2020-09-19,10.07,10.49,9.96,10.15,8.73109762E8,3.551547041E9
2020-09-18,10.99,11.15,9.9,10.08,1.114418785E9,3.528574725E9
2020-09-17,10.76,11.61,10.54,10.99,1.259649199E9,3.846108077E9
2020-09-16,10.98,11.29,10.57,10.76,1.153746184E9,3.766635594E9
2020-09-15,12.11,12.21,10.83,10.98,1.195560378E9,3.842353946E9
2020-09-14,11.97,12.43,11.73,12.12,1.249919309E9,4.24185274E9
2020-09-13,12.77,13.18,11.85,11.99,3.644243871E9,4.197741154E9
2020-09-12,12.5,12.77,12.12,12.77,3.524744647E9,4.469160914E9
2020-09-11,12.55,12.72,12.06,12.5,3.397578038E9,4.375523796E9
2020-09-10,12.38,13.2,12.3,12.55,4.019748249E9,4.392959562E9
2020-09-09,11.79,12.62,11.51,12.38,1.212963346E9,4.332052448E9
2020-09-08,12.44,12.72,11.27,11.79,1.393552853E9,4.124761105E9
2020-09-07,12.89,13.19,11.42,12.43,1.891052112E9,4.34930201E9
2020-09-06,10.61,13.17,9.94,12.91,1.953997882E9,4.519805324E9
2020-09-05,12.51,12.77,9.52,10.61,1.90650166E9,3.714015162E9
2020-09-04,12.01,12.92,11.27,12.49,1.796655505E9,4.37250321E9
2020-09-03,14.96,14.98,11.68,12.02,1.702199859E9,4.205837225E9
2020-09-02,16.12,16.39,14.27,14.9,1.44020773E9,5.214088927E9
