date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,45.72,46.61,45.53,46.28,1.107615079E9,3.03502726E9
2020-09-29,45.25,45.81,45.1,45.7,9.85360576E8,2.996289346E9
2020-09-28,46.06,46.91,45.22,45.27,1.15765893E9,2.967951482E9
2020-09-27,46.05,46.48,44.89,46.01,9.95464294E8,3.016098329E9
2020-09-26,45.98,46.43,45.43,46.13,1.001047365E9,3.023670012E9
2020-09-25,45.05,46.44,44.2,46.01,1.159558918E9,3.01529445E9
2020-09-24,43.04,45.15,42.75,44.96,1.129884292E9,2.946301291E9
2020-09-23,44.57,45.01,42.74,43.04,1.330940959E9,2.820223523E9
2020-09-22,43.36,44.77,43.12,44.55,1.078696494E9,2.918394264E9
2020-09-21,47.13,47.65,42.54,43.39,1.923483523E9,2.842432912E9
2020-09-20,48.67,48.67,46.43,47.1,1.03391335E9,3.085167468E9
2020-09-19,48.48,49.03,48.21,48.68,9.6171669E8,3.188069967E9
2020-09-18,48.83,49.08,47.79,48.46,1.13577584E9,3.173679301E9
2020-09-17,47.98,49.48,47.88,48.88,1.701721113E9,3.20047507E9
2020-09-16,48.46,48.79,47.47,47.93,1.674030602E9,3.138328709E9
2020-09-15,49.12,50.14,48.35,48.39,1.663112038E9,3.167891971E9
2020-09-14,48.05,49.94,47.44,49.09,1.786276098E9,3.21336749E9
2020-09-13,50.76,50.93,47.53,48.07,1.785910878E9,3.145983705E9
2020-09-12,49.06,51.22,48.67,50.82,1.588978329E9,3.325687817E9
2020-09-11,48.72,49.41,47.4,49.09,1.835173089E9,3.212303729E9
2020-09-10,47.92,49.38,47.9,48.72,2.001211524E9,3.187527096E9
2020-09-09,47.38,48.85,46.7,47.9,1.828181736E9,3.133588725E9
2020-09-08,48.81,49.3,46.2,47.38,2.314205963E9,3.099602851E9
2020-09-07,48.03,49.07,45.62,48.77,2.235340013E9,3.1898928E9
2020-09-06,47.6,48.9,46.62,48.05,2.075916067E9,3.142675722E9
2020-09-05,50.62,51.32,46.15,47.59,2.83176657E9,3.111962365E9
2020-09-04,47.78,52.33,47.19,50.61,2.85127183E9,3.309267726E9
2020-09-03,58.01,58.53,47.06,47.77,2.765272845E9,3.123351779E9
2020-09-02,62.87,63.07,57.14,58.1,2.79016926E9,3.7979664E9
2020-09-01,61.11,64.18,60.39,62.88,2.717986649E9,4.110169776E9
2020-08-31,62.84,63.49,60.75,61.11,2.561891272E9,3.99408508E9
2020-08-30,57.21,62.8,57.17,62.73,2.759602454E9,4.09923186E9
2020-08-29,57.44,58.23,57.13,57.29,2.006047086E9,3.743728945E9
2020-08-28,56.1,58.17,55.57,57.35,2.206041301E9,3.747428403E9
2020-08-27,58.3,59.16,54.8,56.04,2.212235187E9,3.661200919E9
