date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,19.75,20.03,18.78,19.09,5.02843235E8,1.346241555E9
2020-09-29,20.14,20.29,19.15,19.78,5.20040456E8,1.39551533E9
2020-09-28,21.17,21.52,19.83,20.13,5.90927629E8,1.419725865E9
2020-09-27,21.15,21.8,20.62,21.17,5.05963063E8,1.493003523E9
2020-09-26,21.38,22.37,20.7,21.15,5.8792427E8,1.491921967E9
2020-09-25,21.87,23.14,20.97,21.38,8.63550552E8,1.508269698E9
2020-09-24,19.67,21.98,19.52,21.85,6.96909813E8,1.540948862E9
2020-09-23,20.2,21.8,18.9,19.68,8.46568356E8,1.38823273E9
2020-09-22,20.14,20.64,18.73,20.2,7.80984727E8,1.425122153E9
2020-09-21,23.66,24.41,19.78,20.19,1.295549367E9,1.424124905E9
2020-09-20,24.57,25.7,22.89,23.66,1.179967293E9,1.669106078E9
2020-09-19,25.29,25.37,23.76,24.62,9.04395116E8,1.736872221E9
2020-09-18,23.75,25.94,23.2,25.29,1.208325976E9,1.783753893E9
2020-09-17,20.98,24.26,20.76,23.75,1.201289149E9,1.675634287E9
2020-09-16,20.27,21.8,19.51,21.04,1.108185833E9,1.484476647E9
2020-09-15,22.01,22.46,20.23,20.23,1.116525154E9,1.427263399E9
2020-09-14,20.24,22.46,19.65,22.03,1.095344442E9,1.554136306E9
2020-09-13,21.69,22.01,19.34,20.29,9.99879094E8,1.431241341E9
2020-09-12,20.39,21.78,19.8,21.69,1.068944035E9,1.529845084E9
2020-09-11,18.45,20.66,18.12,20.39,1.193567881E9,1.438638022E9
2020-09-10,17.33,18.64,17.29,18.45,8.43038071E8,1.301721661E9
2020-09-09,17.06,17.96,16.66,17.31,7.27026328E8,1.220869144E9
2020-09-08,18.19,18.55,16.65,17.06,8.27408571E8,1.203682641E9
2020-09-07,17.21,18.27,16.11,18.17,7.83954342E8,1.281994276E9
2020-09-06,16.92,17.69,16.37,17.21,5.60823146E8,1.213699011E9
2020-09-05,19.02,19.33,16.46,16.92,6.6907043E8,1.193445525E9
2020-09-04,17.93,19.75,17.56,19.07,5.07832659E8,1.345055395E9
2020-09-03,20.37,20.59,17.8,17.94,4.90096919E8,1.265605326E9
2020-09-02,21.54,21.7,19.56,20.36,5.92770351E8,1.436295731E9
2020-09-01,20.48,22.48,20.29,21.46,9.93813266E8,1.513803189E9
2020-08-31,20.71,21.58,20.29,20.5,8.77057528E8,1.446273899E9
2020-08-30,21.25,22.75,20.43,20.7,1.450491985E9,1.460075412E9
2020-08-29,18.33,21.87,18.02,21.29,1.283333209E9,1.502032116E9
2020-08-28,17.66,18.56,17.43,18.35,6.43963972E8,1.294135903E9
2020-08-27,17.38,18.04,16.8,17.66,8.47481772E8,1.245792364E9
2020-08-26,17.12,18.0,16.93,17.4,7.82546737E8,1.227621804E9
2020-08-25,18.14,18.21,16.35,17.11,6.6285796E8,1.206999621E9
2020-08-24,18.2,19.41,18.0,18.15,3.91584046E8,1.280102655E9
2020-08-23,18.92,19.66,17.79,18.2,4.41523289E8,1.283920528E9
2020-08-22,16.63,19.1,15.83,18.94,6.33241903E8,1.335675818E9
2020-08-21,17.79,19.68,16.64,16.64,6.62932816E8,1.173597789E9
2020-08-20,15.88,17.88,15.87,17.8,3.87346564E8,1.255866989E9
2020-08-19,16.23,16.89,15.65,15.88,3.53834519E8,1.120160443E9
2020-08-18,16.54,17.5,16.16,16.23,3.59768514E8,1.144830089E9
2020-08-17,15.49,16.87,15.35,16.53,4.18282962E8,1.166334966E9
2020-08-16,15.16,15.73,14.7,15.49,2.93764097E8,1.092944034E9
2020-08-15,14.84,15.43,14.8,15.15,3.01749015E8,1.068829744E9
2020-08-14,14.71,16.03,14.46,14.84,3.63039539E8,1.046945633E9
2020-08-13,14.48,15.01,13.68,14.7,3.46049328E8,1.037043381E9
2020-08-12,13.74,14.78,13.38,14.49,3.29256715E8,1.022123498E9
2020-08-11,14.54,14.62,13.44,13.74,5.63509492E8,9.68906656E8
2020-08-10,13.03,15.28,13.03,14.52,4.36597134E8,1.024477994E9
2020-08-09,13.11,13.34,12.85,13.03,2.21957306E8,9.18797781E8
2020-08-08,12.88,13.11,12.75,13.07,2.10311618E8,9.21730496E8
2020-08-07,13.0,13.47,12.58,12.88,5.26378769E8,9.08346997E8
2020-08-06,12.92,13.28,12.81,13.0,2.35371147E8,9.17144335E8
2020-08-05,12.52,12.96,12.4,12.92,2.12642928E8,9.11328924E8
2020-08-04,12.41,12.73,12.36,12.51,2.01039451E8,8.82780456E8
2020-08-03,12.18,12.76,12.1,12.41,2.37647861E8,8.75726597E8
2020-08-02,13.32,13.67,12.12,12.19,3.16352119E8,8.59596995E8
2020-08-01,12.18,13.4,12.07,13.31,3.6110326E8,9.38844811E8
2020-07-31,11.79,12.18,11.63,12.18,2.22960574E8,8.58909175E8
2020-07-30,11.71,11.88,11.54,11.8,1.91859692E8,8.32023967E8
2020-07-29,11.74,12.19,11.68,11.7,2.3936704E8,8.25478153E8
2020-07-28,11.61,11.99,11.36,11.74,3.05615652E8,8.28177332E8
2020-07-27,11.6,11.84,10.9,11.58,3.66814833E8,8.1710946E8
2020-07-26,11.59,11.89,11.49,11.6,2.35710938E8,8.1857865E8
2020-07-25,11.1,11.63,11.09,11.59,2.1724981E8,8.17878301E8
2020-07-24,11.41,11.43,11.05,11.09,2.45456357E8,7.82347097E8
2020-07-23,11.56,11.69,11.34,11.4,2.45506345E8,8.04364676E8
2020-07-22,11.17,11.64,11.08,11.56,2.35753231E8,8.15338424E8
2020-07-21,10.4,11.36,10.36,11.17,2.73392782E8,7.87702935E8
2020-07-20,10.64,10.67,10.38,10.4,1.60489697E8,7.33866783E8
2020-07-19,10.54,10.64,10.42,10.63,1.51392681E8,7.50169656E8
2020-07-18,10.59,10.66,10.49,10.54,1.57821212E8,7.43175927E8
2020-07-17,10.7,10.77,10.54,10.6,1.58743421E8,7.47702749E8
2020-07-16,10.99,11.02,10.45,10.69,2.09882278E8,7.53951985E8
2020-07-15,10.83,11.35,10.83,10.98,2.41189204E8,7.74779283E8
2020-07-14,10.69,11.02,10.4,10.84,2.16400091E8,7.64539985E8
2020-07-13,10.78,11.18,10.55,10.69,2.47490495E8,7.54382155E8
2020-07-12,10.76,10.9,10.54,10.78,2.04663086E8,7.60397457E8
2020-07-11,10.52,10.9,10.44,10.76,2.45187858E8,7.58817481E8
2020-07-10,10.81,10.81,10.34,10.52,2.32407571E8,7.42081908E8
2020-07-09,11.07,11.24,10.59,10.81,2.51174576E8,7.62460055E8
2020-07-08,10.53,11.21,10.47,11.07,2.89682938E8,7.80847867E8
2020-07-07,10.56,10.62,10.22,10.51,2.13585229E8,7.41052699E8
2020-07-06,10.06,10.59,10.06,10.56,2.3671587E8,7.44920715E8
2020-07-05,9.95,10.06,9.71,10.06,1.84756291E8,7.09624837E8
2020-07-04,9.8,9.99,9.79,9.96,1.6274775E8,7.0253905E8
2020-07-03,10.06,10.07,9.78,9.81,1.55216023E8,6.91731656E8
2020-07-02,10.15,10.27,9.83,10.06,1.75906285E8,7.09661606E8
2020-07-01,10.04,10.27,9.96,10.15,2.12800588E8,7.16200236E8
2020-06-30,10.21,10.28,10.0,10.04,2.11748739E8,7.08343049E8
2020-06-29,10.07,10.28,9.98,10.21,2.8083718E8,7.20432647E8
2020-06-28,9.75,10.24,9.65,10.07,2.77851495E8,7.10678584E8
2020-06-27,10.19,10.32,9.54,9.75,2.96221949E8,6.87514776E8
2020-06-26,10.35,10.41,10.05,10.2,2.84410047E8,7.19587871E8
2020-06-25,10.49,10.53,10.09,10.35,3.01842773E8,7.30117955E8
2020-06-24,10.95,11.2,10.34,10.49,3.5716447E8,7.4010687E8
2020-06-23,10.78,11.21,10.6,10.94,3.62250215E8,7.71616398E8
2020-06-22,10.31,10.81,10.3,10.78,3.69754221E8,7.60324055E8
2020-06-21,10.27,10.57,10.23,10.3,3.07723824E8,7.26516426E8
2020-06-20,10.21,10.35,10.09,10.27,3.00608225E8,7.24482253E8
2020-06-19,10.45,10.46,10.19,10.21,3.19740985E8,7.20038871E8
2020-06-18,10.6,10.63,10.31,10.44,3.28763442E8,7.36147528E8
2020-06-17,10.58,10.86,10.37,10.6,3.70454317E8,7.47700286E8
2020-06-16,10.43,10.67,10.39,10.58,3.49238901E8,7.46498086E8
2020-06-15,10.68,10.68,9.79,10.44,4.20966359E8,7.36434844E8
2020-06-14,11.09,11.11,10.59,10.68,3.41288186E8,7.53105273E8
2020-06-13,10.96,11.13,10.78,11.09,3.65221986E8,7.82406163E8
2020-06-12,10.75,11.2,10.58,10.95,4.00454688E8,7.72365037E8
2020-06-11,11.94,12.01,10.65,10.75,3.68142911E8,7.58642346E8
2020-06-10,12.05,12.27,11.83,11.94,4.20079955E8,8.41939724E8
2020-06-09,11.64,12.15,11.47,12.06,4.19568944E8,8.50363808E8
2020-06-08,11.78,11.82,11.52,11.64,3.53175046E8,8.21393661E8
2020-06-07,11.79,11.98,11.41,11.78,4.28452418E8,8.31035877E8
2020-06-06,11.87,11.98,11.51,11.79,4.18551339E8,8.31790902E8
2020-06-05,12.19,12.26,11.86,11.87,4.50464874E8,8.3714294E8
2020-06-04,12.37,12.46,11.83,12.19,4.90396228E8,8.59910443E8
2020-06-03,12.1,12.51,11.77,12.37,5.2824762E8,8.72822533E8
2020-06-02,12.41,13.11,11.58,12.1,7.21254489E8,8.5323376E8
2020-06-01,10.96,12.65,10.92,12.42,7.83678511E8,8.76379172E8
2020-05-31,11.0,11.79,10.62,10.97,5.56328983E8,7.73577807E8
2020-05-30,10.26,11.07,10.16,11.01,4.87188424E8,7.76701795E8
2020-05-29,10.4,10.47,10.11,10.26,3.73111108E8,7.23393401E8
2020-05-28,10.03,10.4,9.97,10.39,3.82427009E8,7.33227911E8
2020-05-27,9.93,10.21,9.92,10.02,3.62944806E8,7.06953924E8
2020-05-26,9.92,10.13,9.64,9.92,3.85779981E8,6.99978152E8
2020-05-25,9.72,9.98,9.62,9.94,3.66727302E8,7.01038394E8
2020-05-24,10.24,10.32,9.72,9.73,3.14447355E8,6.86324962E8
2020-05-23,10.39,10.46,10.14,10.24,3.52581209E8,7.22279599E8
2020-05-22,9.57,10.56,9.44,10.39,4.87140864E8,7.32980681E8
2020-05-21,10.13,10.18,9.27,9.58,3.95341395E8,6.75691237E8
2020-05-20,10.27,10.39,10.02,10.13,4.05751025E8,7.14602662E8
2020-05-19,10.25,10.28,9.87,10.27,4.62088018E8,7.24659697E8
2020-05-18,10.18,10.52,10.16,10.25,5.31778473E8,7.22799241E8
