date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,0.026436,0.026599,0.025888,0.026278,9.19851651E8,1.883077766E9
2020-09-29,0.026371,0.026518,0.025702,0.02644,9.79476755E8,1.894706225E9
2020-09-28,0.026639,0.027172,0.026375,0.026397,1.390222335E9,1.891567722E9
2020-09-27,0.027282,0.02753,0.026128,0.026639,1.528014706E9,1.908924182E9
2020-09-26,0.027193,0.028908,0.027108,0.027276,1.564059129E9,1.954582277E9
2020-09-25,0.026289,0.027436,0.025658,0.0272,1.793239955E9,1.94911145E9
2020-09-24,0.024896,0.026316,0.024578,0.026316,9.21059868E8,1.885800153E9
2020-09-23,0.025044,0.026098,0.024725,0.024895,2.053309531E9,1.783996009E9
2020-09-22,0.025005,0.025514,0.024675,0.025044,1.948134714E9,1.7946378E9
2020-09-21,0.026981,0.027521,0.024691,0.024999,3.377753024E9,1.791400336E9
2020-09-20,0.027763,0.027794,0.026523,0.026965,2.760499756E9,1.932299457E9
2020-09-19,0.029045,0.029295,0.027657,0.027782,2.897389598E9,1.990864173E9
2020-09-18,0.028104,0.029801,0.027875,0.029089,3.523907328E9,2.084506925E9
2020-09-17,0.026453,0.028395,0.026427,0.028104,2.801521792E9,2.013917883E9
2020-09-16,0.027909,0.029203,0.026238,0.026494,3.463620542E9,1.898583126E9
2020-09-15,0.030403,0.030431,0.027701,0.027901,3.079049243E9,1.999410434E9
2020-09-14,0.030592,0.031586,0.030155,0.030452,2.7769825E9,2.182192408E9
2020-09-13,0.032749,0.03275,0.029659,0.030583,2.416138366E9,2.191568821E9
2020-09-12,0.033548,0.033552,0.032248,0.032749,2.301374668E9,2.346750749E9
2020-09-11,0.033077,0.034409,0.031431,0.033509,2.419591539E9,2.401224116E9
2020-09-10,0.034059,0.035182,0.032726,0.033077,2.259381039E9,2.370301924E9
2020-09-09,0.03511,0.035873,0.033793,0.034025,2.334257138E9,2.438215516E9
2020-09-08,0.032329,0.03543,0.03176,0.035001,3.157190949E9,2.508169833E9
2020-09-07,0.031476,0.032552,0.028658,0.032276,2.401424526E9,2.312921523E9
2020-09-06,0.029997,0.032374,0.028171,0.031523,3.126107645E9,2.25895078E9
2020-09-05,0.035749,0.036656,0.028109,0.029997,3.631605784E9,2.149577199E9
2020-09-04,0.041029,0.044489,0.032994,0.03562,5.318358918E9,2.552524883E9
2020-09-03,0.034544,0.048876,0.034292,0.041192,6.184131222E9,2.951805244E9
2020-09-02,0.034617,0.038077,0.032415,0.034451,4.058694827E9,2.468726553E9
2020-09-01,0.029277,0.035672,0.02838,0.034553,2.177409507E9,2.476052862E9
2020-08-31,0.026991,0.029708,0.025909,0.029298,1.169223528E9,2.099451707E9
2020-08-30,0.025001,0.02814,0.024989,0.026952,9.0725692E8,1.931397452E9
2020-08-29,0.023985,0.025196,0.023799,0.025038,5.48310637E8,1.794220106E9
2020-08-28,0.023108,0.024252,0.022803,0.023981,5.63814715E8,1.718466141E9
2020-08-27,0.023746,0.02447,0.022343,0.0231,6.56715523E8,1.655338315E9
2020-08-26,0.023123,0.023922,0.022883,0.023747,5.84388284E8,1.701684374E9
2020-08-25,0.025164,0.025407,0.022464,0.023132,6.60656192E8,1.65766356E9
2020-08-24,0.024452,0.025611,0.024049,0.025163,5.62364027E8,1.803169492E9
2020-08-23,0.025142,0.025232,0.023842,0.024465,5.59951529E8,1.753164209E9
2020-08-22,0.024349,0.025452,0.023548,0.025163,8.71932825E8,1.803205764E9
2020-08-21,0.027541,0.027729,0.024234,0.024343,9.01541907E8,1.744436133E9
2020-08-20,0.026519,0.027719,0.02645,0.027545,9.2506233E8,1.973861703E9
2020-08-19,0.028778,0.028925,0.025642,0.026537,1.532284594E9,1.901641329E9
2020-08-18,0.030332,0.032394,0.028507,0.028803,1.708225951E9,2.06399428E9
2020-08-17,0.028207,0.031145,0.026942,0.030388,1.342730121E9,2.177601319E9
2020-08-16,0.025212,0.028444,0.024295,0.028207,1.128912475E9,2.021333619E9
2020-08-15,0.024739,0.025508,0.023756,0.025201,8.36345615E8,1.805876956E9
2020-08-14,0.022628,0.025748,0.022628,0.02475,1.078753054E9,1.773606735E9
2020-08-13,0.020389,0.023213,0.019705,0.022606,7.71131136E8,1.619905327E9
2020-08-12,0.020161,0.020664,0.019191,0.020391,4.77942729E8,1.461236236E9
2020-08-11,0.021514,0.021522,0.019653,0.020157,8.0625954E8,1.44446275E9
2020-08-10,0.020496,0.021771,0.020496,0.021517,5.96055237E8,1.54191865E9
2020-08-09,0.020448,0.020634,0.020205,0.020473,3.83920387E8,1.467055935E9
2020-08-08,0.019899,0.020574,0.019784,0.020418,3.96763867E8,1.463143428E9
2020-08-07,0.020268,0.02106,0.01931,0.019938,8.00831329E8,1.42878261E9
2020-08-06,0.020449,0.020537,0.020047,0.020275,4.50623907E8,1.452910867E9
2020-08-05,0.020359,0.020711,0.020172,0.020451,4.72602438E8,1.465487761E9
2020-08-04,0.019887,0.020636,0.019887,0.020352,5.35229652E8,1.458423566E9
2020-08-03,0.019056,0.020064,0.018936,0.019887,5.30532808E8,1.425120448E9
2020-08-02,0.020408,0.021122,0.018745,0.019039,7.64416764E8,1.364340755E9
2020-08-01,0.019677,0.02068,0.0195,0.020396,6.25808106E8,1.461540771E9
2020-07-31,0.019269,0.019724,0.019018,0.019677,4.72882523E8,1.410057715E9
2020-07-30,0.019335,0.019384,0.018817,0.019276,4.65222604E8,1.381340937E9
2020-07-29,0.01912,0.019846,0.019014,0.019325,5.61417584E8,1.384848245E9
2020-07-28,0.018718,0.019442,0.018265,0.019122,5.48888124E8,1.370289569E9
2020-07-27,0.018525,0.019052,0.017826,0.018666,5.70027398E8,1.337590284E9
2020-07-26,0.018681,0.019166,0.018331,0.018525,4.56539888E8,1.327482791E9
2020-07-25,0.01795,0.018724,0.017924,0.018683,4.25724567E8,1.338825586E9
2020-07-24,0.017865,0.01824,0.017536,0.017959,3.87143586E8,1.286905757E9
2020-07-23,0.017948,0.018008,0.017776,0.017864,3.83109394E8,1.191176033E9
2020-07-22,0.017563,0.017975,0.017438,0.017953,3.21816294E8,1.197137439E9
2020-07-21,0.017217,0.017649,0.01718,0.017562,3.61737984E8,1.171060698E9
2020-07-20,0.017479,0.017517,0.0171,0.017219,3.39773905E8,1.148214111E9
2020-07-19,0.017396,0.017533,0.017247,0.017477,3.3553145E8,1.165434573E9
2020-07-18,0.017182,0.017464,0.017016,0.0174,3.1341418E8,1.16028834E9
2020-07-17,0.017137,0.017326,0.017039,0.017183,3.21094831E8,1.145794457E9
2020-07-16,0.017556,0.017594,0.016769,0.017144,4.07189009E8,1.14321995E9
2020-07-15,0.01764,0.017771,0.017493,0.017561,3.81803426E8,1.170977243E9
2020-07-14,0.017537,0.017748,0.017198,0.017641,4.40691747E8,1.176313963E9
2020-07-13,0.018153,0.018338,0.017372,0.017553,4.96850309E8,1.170443871E9
2020-07-12,0.018377,0.01848,0.017968,0.018153,4.27938227E8,1.210498999E9
2020-07-11,0.018134,0.018764,0.018134,0.018366,4.97162339E8,1.224658712E9
2020-07-10,0.01843,0.018572,0.017824,0.018143,5.72487095E8,1.209790879E9
2020-07-09,0.0179,0.018782,0.017604,0.018451,8.0780406E8,1.230354015E9
2020-07-08,0.017145,0.018066,0.016851,0.017906,7.66932917E8,1.193981923E9
2020-07-07,0.018005,0.018065,0.017103,0.01719,7.03321313E8,1.146278411E9
2020-07-06,0.01684,0.018082,0.01684,0.01802,1.023605276E9,1.20164403E9
2020-07-05,0.016809,0.016844,0.016427,0.01684,6.49642721E8,1.122957417E9
2020-07-04,0.016645,0.016934,0.016606,0.016804,6.40532541E8,1.120517162E9
2020-07-03,0.016689,0.017035,0.016569,0.016662,5.85485001E8,1.111086638E9
2020-07-02,0.016865,0.017226,0.016286,0.016694,7.84497063E8,1.113217183E9
2020-07-01,0.016371,0.017035,0.016251,0.016871,6.91472812E8,1.125001179E9
2020-06-30,0.016194,0.016605,0.016181,0.016372,6.70713846E8,1.091734121E9
2020-06-29,0.015816,0.016368,0.015795,0.016203,7.15965924E8,1.080451825E9
2020-06-28,0.015513,0.016025,0.015341,0.015815,5.24320333E8,1.054594838E9
2020-06-27,0.01584,0.016075,0.015236,0.015513,5.79087365E8,1.034419446E9
2020-06-26,0.015925,0.016092,0.015718,0.015841,5.36770368E8,1.056282346E9
2020-06-25,0.015963,0.016084,0.0156,0.015933,5.14058865E8,1.062426852E9
2020-06-24,0.016531,0.016818,0.015846,0.015964,5.8606462E8,1.064534453E9
2020-06-23,0.016329,0.016758,0.016134,0.016525,7.82289505E8,1.101930447E9
2020-06-22,0.015838,0.016355,0.015838,0.016331,7.85970254E8,1.088981497E9
2020-06-21,0.015934,0.016051,0.015817,0.015839,9.12842172E8,1.056201955E9
2020-06-20,0.015799,0.016082,0.015711,0.015931,8.9058514E8,1.062297989E9
2020-06-19,0.016062,0.01613,0.015761,0.015799,7.83041745E8,1.053539229E9
2020-06-18,0.0162,0.01621,0.015896,0.016064,8.00422738E8,1.071187522E9
2020-06-17,0.016145,0.01645,0.015968,0.0162,1.212665543E9,1.080239006E9
2020-06-16,0.016111,0.016232,0.01602,0.016146,1.204257818E9,1.076669505E9
2020-06-15,0.016257,0.016257,0.01517,0.016113,1.347052817E9,1.074468776E9
2020-06-14,0.016706,0.016723,0.016176,0.016257,1.332912266E9,1.084038088E9
2020-06-13,0.016475,0.016736,0.016197,0.016705,1.362642566E9,1.113891577E9
2020-06-12,0.015813,0.016638,0.01571,0.016458,1.431010897E9,1.097485726E9
2020-06-11,0.017605,0.017704,0.015648,0.015806,1.479076108E9,1.054000298E9
2020-06-10,0.017608,0.017667,0.017372,0.017608,1.453161202E9,1.174159747E9
2020-06-09,0.017954,0.017964,0.017506,0.017609,1.527613343E9,1.174184865E9
2020-06-08,0.018193,0.018558,0.017781,0.017957,1.671492248E9,1.197383066E9
2020-06-07,0.017001,0.018199,0.016992,0.018179,1.796519392E9,1.212213637E9
2020-06-06,0.016931,0.017096,0.016641,0.016993,1.517537231E9,1.133144994E9
2020-06-05,0.016909,0.017268,0.016816,0.016938,1.509634218E9,1.129435477E9
2020-06-04,0.016881,0.017315,0.016466,0.01691,1.580934885E9,1.127582122E9
2020-06-03,0.016309,0.016915,0.016122,0.016875,1.60758969E9,1.125254392E9
2020-06-02,0.017,0.017436,0.015899,0.016307,1.668286862E9,1.087369039E9
2020-06-01,0.01587,0.017026,0.015816,0.017007,1.709386487E9,1.134090518E9
2020-05-31,0.016318,0.017102,0.01574,0.015891,1.730497289E9,1.059652189E9
2020-05-30,0.015014,0.016326,0.014929,0.016314,1.646591606E9,1.087878991E9
2020-05-29,0.015119,0.015321,0.014934,0.015011,1.366748932E9,1.000994991E9
2020-05-28,0.014729,0.015157,0.014617,0.015131,1.428376209E9,1.008946252E9
2020-05-27,0.014569,0.014893,0.014525,0.01473,1.379206169E9,9.82215875E8
2020-05-26,0.014744,0.014767,0.014328,0.014566,1.406337763E9,9.71295167E8
2020-05-25,0.014391,0.014766,0.014258,0.014742,1.472796404E9,9.8304281E8
2020-05-24,0.015044,0.015269,0.01443,0.01443,1.484128068E9,9.62195908E8
2020-05-23,0.014857,0.015589,0.014851,0.015048,1.511113356E9,1.003418839E9
2020-05-22,0.014258,0.015057,0.014136,0.014859,1.529285626E9,9.90846328E8
2020-05-21,0.014998,0.015042,0.013921,0.014256,1.48546698E9,9.50636867E8
2020-05-20,0.01551,0.01551,0.014804,0.015001,1.54909283E9,1.000276975E9
2020-05-19,0.015352,0.015512,0.015172,0.015512,1.525778977E9,1.034362953E9
2020-05-18,0.015011,0.015525,0.01499,0.015356,1.514322601E9,1.02396069E9
2020-05-17,0.014964,0.015139,0.01494,0.015004,1.507268889E9,1.000491132E9
2020-05-16,0.014916,0.015082,0.014831,0.014962,1.494408339E9,9.97697025E8
2020-05-15,0.015261,0.015272,0.014785,0.014917,1.521940437E9,9.94685235E8
2020-05-14,0.014998,0.015323,0.014856,0.015263,1.642843797E9,1.017779947E9
2020-05-13,0.014556,0.015183,0.014517,0.015003,1.584119641E9,1.000411128E9
2020-05-12,0.014039,0.014892,0.013975,0.014559,1.64436512E9,9.70816507E8
2020-05-11,0.014286,0.01444,0.013483,0.014022,1.723522613E9,9.35016595E8
2020-05-10,0.016185,0.016185,0.013705,0.014283,1.751400504E9,9.52402373E8
2020-05-09,0.01632,0.01657,0.016153,0.016198,1.6249099E9,1.080118125E9
2020-05-08,0.016049,0.016551,0.015969,0.016325,1.695737285E9,1.088575109E9
2020-05-07,0.015791,0.016227,0.01558,0.016056,1.69464413E9,1.070629228E9
2020-05-06,0.015897,0.016276,0.015764,0.015828,1.566060151E9,1.055412677E9
2020-05-05,0.016307,0.016627,0.015797,0.015902,1.797335086E9,1.060401614E9
2020-05-04,0.016025,0.016399,0.015356,0.016307,1.743677561E9,1.08735209E9
2020-05-03,0.016384,0.016557,0.015794,0.01602,1.561508724E9,1.068267999E9
2020-05-02,0.01591,0.016423,0.015864,0.016375,1.500824958E9,1.091915962E9
2020-05-01,0.015276,0.016331,0.015275,0.015893,1.620462039E9,1.059754823E9
2020-04-30,0.016311,0.016649,0.015219,0.015278,1.6869749E9,1.018736565E9
2020-04-29,0.015389,0.016422,0.015112,0.016311,1.744485549E9,1.087667165E9
2020-04-28,0.014561,0.015423,0.01441,0.015395,1.536500537E9,1.026540586E9
2020-04-27,0.014255,0.014647,0.014251,0.014554,1.43166548E9,9.70492181E8
2020-04-26,0.014013,0.014273,0.014012,0.014252,1.396232783E9,9.5037722E8
2020-04-25,0.014016,0.014244,0.013833,0.014018,1.484554238E9,9.34729998E8
2020-04-24,0.013558,0.01433,0.013539,0.014019,1.538403027E9,9.34832407E8
2020-04-23,0.012977,0.013668,0.012893,0.013554,1.370466698E9,9.03778064E8
2020-04-22,0.012588,0.013112,0.012529,0.012976,1.277662807E9,8.65254234E8
2020-04-21,0.012508,0.012716,0.01244,0.012586,1.285407673E9,8.39287778E8
2020-04-20,0.013031,0.0132,0.012397,0.012517,1.366517418E9,8.34683588E8
2020-04-19,0.013373,0.01343,0.01302,0.013032,1.29711692E9,8.69003069E8
2020-04-18,0.013006,0.013445,0.012988,0.013369,1.358911558E9,8.91484674E8
2020-04-17,0.01304,0.013119,0.012822,0.013004,1.294903478E9,8.67163361E8
2020-04-16,0.012218,0.01311,0.012033,0.013042,1.483226074E9,8.69655065E8
2020-04-15,0.012417,0.012599,0.012209,0.012225,1.227074918E9,8.15204719E8
2020-04-14,0.012578,0.012762,0.012411,0.012413,1.235758429E9,8.27702924E8
2020-04-13,0.012893,0.012893,0.012252,0.012585,1.247887208E9,8.39164284E8
2020-04-12,0.01248,0.013157,0.012398,0.012902,1.058237103E9,8.60322761E8
2020-04-11,0.012462,0.012806,0.012354,0.012483,1.051591915E9,8.32404709E8
2020-04-10,0.013505,0.013528,0.012141,0.012462,1.097485527E9,8.31008595E8
2020-04-09,0.013695,0.013767,0.013324,0.013507,9.81287829E8,9.00691355E8
2020-04-08,0.013276,0.013726,0.01319,0.013695,1.079069172E9,9.13182875E8
2020-04-07,0.013655,0.013952,0.013217,0.013266,9.37935932E8,8.84620531E8
2020-04-06,0.012603,0.013676,0.0126,0.013658,1.010970948E9,9.10758494E8
2020-04-05,0.012004,0.012704,0.011893,0.012603,9.06467477E8,8.4039915E8
2020-04-04,0.01191,0.012047,0.011787,0.011998,8.08013454E8,8.00078429E8
2020-04-03,0.011978,0.012155,0.011811,0.011905,7.9417993E8,7.93862724E8
2020-04-02,0.011582,0.012308,0.011539,0.011975,8.52662345E8,7.98498883E8
2020-04-01,0.011625,0.011639,0.011168,0.011575,8.10514942E8,7.71873065E8
2020-03-31,0.011514,0.011708,0.011421,0.011625,7.56610778E8,7.75200746E8
2020-03-30,0.010753,0.011685,0.01071,0.011509,1.056877618E9,7.67446426E8
2020-03-29,0.011399,0.011431,0.010749,0.010749,9.17907291E8,7.16778849E8
2020-03-28,0.011425,0.011487,0.010922,0.011402,1.027379374E9,7.60296995E8
2020-03-27,0.011883,0.011993,0.011402,0.011427,9.92171536E8,7.61971988E8
2020-03-26,0.011385,0.011919,0.011322,0.011871,1.012778457E9,7.91553548E8
2020-03-25,0.011512,0.011685,0.011172,0.011385,1.051356265E9,7.59180481E8
2020-03-24,0.011296,0.011615,0.011185,0.011513,1.086206947E9,7.67683406E8
2020-03-23,0.010365,0.011303,0.010299,0.011284,1.113460487E9,7.52452701E8
2020-03-22,0.011231,0.011581,0.010329,0.010365,9.60442296E8,6.91142087E8
2020-03-21,0.011253,0.011496,0.010797,0.011229,1.084677872E9,7.487586E8
2020-03-20,0.011667,0.012663,0.010618,0.011246,1.193679336E9,7.49927363E8
2020-03-19,0.009939,0.012005,0.009939,0.011668,1.253883132E9,7.7802714E8
2020-03-18,0.009879,0.010063,0.009723,0.009934,1.025586853E9,6.62419721E8
2020-03-17,0.009564,0.010283,0.009562,0.009885,1.084261693E9,6.59171041E8
2020-03-16,0.010331,0.010336,0.008787,0.009561,1.159919447E9,6.37572781E8
2020-03-15,0.009759,0.010897,0.009683,0.010344,1.158531783E9,6.89783659E8
2020-03-14,0.010266,0.010551,0.00966,0.009762,1.142638047E9,6.50939209E8
2020-03-13,0.008764,0.010752,0.007516,0.010244,1.816706172E9,6.83096174E8
2020-03-12,0.01484,0.014874,0.008759,0.008792,1.368123604E9,5.86251722E8
2020-03-11,0.015112,0.015251,0.014274,0.014835,1.269759581E9,9.89248812E8
2020-03-10,0.014997,0.015311,0.014702,0.015106,1.243119267E9,1.007275811E9
2020-03-09,0.014836,0.015082,0.01423,0.014988,1.427631477E9,9.99400113E8
2020-03-08,0.01704,0.017042,0.014866,0.014866,1.363976467E9,9.91275582E8
2020-03-07,0.018243,0.01826,0.017025,0.017049,1.298740279E9,1.136886287E9
2020-03-06,0.017911,0.018343,0.017911,0.018236,1.371421963E9,1.216011488E9
2020-03-05,0.01773,0.018316,0.01773,0.017892,1.41988859E9,1.193079626E9
2020-03-04,0.017261,0.017711,0.017127,0.017711,1.397778318E9,1.180988153E9
2020-03-03,0.017494,0.017564,0.017104,0.017271,1.491595029E9,1.151648274E9
