date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,2.23,2.24,2.14,2.2,1.06358108E8,1.638679611E9
2020-09-29,2.26,2.31,2.14,2.23,1.08454816E8,1.662528845E9
2020-09-28,2.18,2.35,2.17,2.26,1.26374757E8,1.680517102E9
2020-09-27,2.17,2.23,2.11,2.18,1.00319529E8,1.620385404E9
2020-09-26,2.21,2.24,2.15,2.17,1.06343294E8,1.617209753E9
2020-09-25,2.16,2.28,2.11,2.21,1.21013717E8,1.646198532E9
2020-09-24,1.96,2.18,1.95,2.16,1.27817155E8,1.604635142E9
2020-09-23,2.12,2.15,1.93,1.96,1.47111267E8,1.455824239E9
2020-09-22,1.98,2.18,1.97,2.12,1.63015986E8,1.57553283E9
2020-09-21,2.22,2.27,1.94,1.99,2.38763507E8,1.477509783E9
2020-09-20,2.35,2.41,2.17,2.22,1.56962844E8,1.652940927E9
2020-09-19,2.41,2.41,2.29,2.34,1.48653832E8,1.743502606E9
2020-09-18,2.49,2.53,2.36,2.41,1.5313796E8,1.788682266E9
2020-09-17,2.49,2.56,2.46,2.49,1.55785199E8,1.852771676E9
2020-09-16,2.52,2.55,2.44,2.49,1.87246376E8,1.852958934E9
2020-09-15,2.63,2.68,2.52,2.52,1.96681904E8,1.873968595E9
2020-09-14,2.62,2.7,2.55,2.63,1.81332731E8,1.954124707E9
2020-09-13,2.61,2.74,2.55,2.62,2.30732356E8,1.947010278E9
2020-09-12,2.57,2.64,2.52,2.61,1.72731455E8,1.940053907E9
2020-09-11,2.58,2.63,2.48,2.57,1.87683931E8,1.910862197E9
2020-09-10,2.54,2.67,2.54,2.58,2.00173E8,1.918881564E9
2020-09-09,2.51,2.61,2.43,2.55,1.84328871E8,1.890049649E9
2020-09-08,2.56,2.65,2.44,2.51,2.37521903E8,1.864429339E9
2020-09-07,2.57,2.6,2.39,2.56,2.3797955E8,1.90303044E9
2020-09-06,2.48,2.63,2.37,2.57,2.56282107E8,1.90495911E9
2020-09-05,2.76,2.83,2.36,2.48,3.69123395E8,1.842523753E9
2020-09-04,2.59,2.84,2.5,2.76,2.95571097E8,2.045037849E9
2020-09-03,3.13,3.13,2.51,2.58,2.94580604E8,1.917626502E9
2020-09-02,3.44,3.46,2.98,3.13,2.72620179E8,2.325089108E9
2020-09-01,3.26,3.5,3.19,3.44,2.13344459E8,2.552875529E9
2020-08-31,3.38,3.46,3.26,3.26,1.53954445E8,2.414977637E9
2020-08-30,3.36,3.42,3.33,3.38,1.57757544E8,2.507624668E9
2020-08-29,3.26,3.42,3.2,3.36,1.67076368E8,2.491027678E9
2020-08-28,3.2,3.31,3.14,3.26,1.57445156E8,2.417211297E9
2020-08-27,3.37,3.41,3.11,3.21,2.36563338E8,2.376041947E9
2020-08-26,3.45,3.5,3.31,3.38,2.04399531E8,2.502048859E9
2020-08-25,3.68,3.7,3.32,3.45,2.49600095E8,2.553558621E9
2020-08-24,3.52,3.79,3.46,3.69,2.33005843E8,2.731680315E9
2020-08-23,3.58,3.61,3.38,3.52,1.72850688E8,2.608955404E9
2020-08-22,3.39,3.6,3.29,3.58,2.29620599E8,2.650591677E9
2020-08-21,3.86,3.9,3.35,3.39,2.87391404E8,2.512041449E9
2020-08-20,3.64,3.92,3.51,3.85,3.05749013E8,2.8540716E9
2020-08-19,3.83,3.91,3.52,3.63,3.81949536E8,2.690988842E9
2020-08-18,4.03,4.14,3.75,3.83,2.60614843E8,2.837079406E9
2020-08-17,4.24,4.25,4.02,4.03,2.29654914E8,2.985609883E9
2020-08-16,4.08,4.36,4.03,4.24,2.84937976E8,3.136665703E9
2020-08-15,4.09,4.3,3.93,4.08,3.38468043E8,3.01843587E9
2020-08-14,4.17,4.28,4.01,4.1,2.78165303E8,3.030882186E9
2020-08-13,4.41,4.48,4.03,4.18,4.57809394E8,3.088171368E9
2020-08-12,4.01,4.46,3.67,4.41,5.42700999E8,3.259030435E9
2020-08-11,4.28,4.41,3.81,4.01,5.46232328E8,2.966162407E9
2020-08-10,3.7,4.27,3.57,4.27,5.25009907E8,3.15736007E9
2020-08-09,3.37,3.77,3.29,3.68,3.42620805E8,2.723508485E9
2020-08-08,3.07,3.48,3.03,3.38,2.25885661E8,2.498021118E9
2020-08-07,3.23,3.28,2.98,3.07,2.13195512E8,2.270301149E9
2020-08-06,3.11,3.37,3.09,3.22,2.08842704E8,2.38284775E9
2020-08-05,3.23,3.25,3.09,3.12,1.61304037E8,2.301953669E9
2020-08-04,3.06,3.29,3.06,3.23,2.8403687E8,2.385473485E9
2020-08-03,2.88,3.06,2.84,3.06,1.9059802E8,2.25744535E9
2020-08-02,3.03,3.12,2.79,2.88,2.49982954E8,2.124910456E9
2020-08-01,2.84,3.05,2.83,3.03,1.72314235E8,2.236281911E9
2020-07-31,2.81,2.9,2.79,2.84,1.09436571E8,2.096447837E9
2020-07-30,2.78,2.85,2.74,2.81,1.02353935E8,2.074553142E9
2020-07-29,2.83,2.94,2.76,2.79,1.35216954E8,2.056179852E9
2020-07-28,2.82,2.89,2.75,2.83,1.58332704E8,2.091226704E9
2020-07-27,2.98,2.98,2.67,2.82,2.6756052E8,2.079765797E9
2020-07-26,3.06,3.1,2.96,2.98,1.53418589E8,2.199951159E9
2020-07-25,3.03,3.11,3.02,3.06,1.28872045E8,2.254569238E9
2020-07-24,3.17,3.19,3.01,3.03,1.44067871E8,2.235309954E9
2020-07-23,3.08,3.22,3.04,3.17,1.70069172E8,2.335347548E9
2020-07-22,3.02,3.09,2.92,3.08,1.26518487E8,2.27348081E9
2020-07-21,2.77,3.05,2.75,3.02,1.55225484E8,2.22264581E9
2020-07-20,2.98,2.98,2.76,2.77,1.31836409E8,2.040725943E9
2020-07-19,3.01,3.04,2.9,2.98,1.22426954E8,2.192784634E9
2020-07-18,3.17,3.17,2.97,3.01,1.64183772E8,2.214895986E9
2020-07-17,3.09,3.21,3.02,3.17,1.86924039E8,2.336330742E9
2020-07-16,3.2,3.3,2.97,3.09,3.8040659E8,2.27800782E9
2020-07-15,2.96,3.2,2.86,3.2,3.00281072E8,2.356032207E9
2020-07-14,2.9,3.04,2.69,2.96,2.51503669E8,2.178433656E9
2020-07-13,2.81,3.15,2.78,2.9,4.11310595E8,2.135346789E9
2020-07-12,2.69,2.83,2.6,2.81,1.73178789E8,2.070061599E9
2020-07-11,2.54,2.72,2.52,2.69,1.47502448E8,1.976677656E9
2020-07-10,2.54,2.58,2.42,2.54,9.6190047E7,1.866768813E9
2020-07-09,2.65,2.65,2.48,2.54,1.15332454E8,1.865324705E9
2020-07-08,2.51,2.68,2.49,2.65,1.26531532E8,1.947284385E9
2020-07-07,2.44,2.58,2.41,2.51,1.16457681E8,1.84439788E9
2020-07-06,2.28,2.45,2.27,2.44,8.9838422E7,1.791442397E9
2020-07-05,2.32,2.34,2.24,2.28,6.205318E7,1.679994711E9
2020-07-04,2.28,2.35,2.27,2.33,5.579186E7,1.710179089E9
2020-07-03,2.36,2.36,2.28,2.28,6.3783458E7,1.675073109E9
2020-07-02,2.4,2.4,2.3,2.36,6.1680738E7,1.732667491E9
2020-07-01,2.36,2.45,2.34,2.4,6.6019108E7,1.76258743E9
2020-06-30,2.41,2.42,2.36,2.36,5.9282212E7,1.734145161E9
2020-06-29,2.37,2.44,2.35,2.41,7.043109E7,1.77364678E9
2020-06-28,2.33,2.44,2.3,2.37,7.7570461E7,1.742583007E9
2020-06-27,2.48,2.5,2.29,2.33,9.7311609E7,1.709693755E9
2020-06-26,2.58,2.58,2.46,2.48,1.17403819E8,1.822186683E9
2020-06-25,2.63,2.63,2.55,2.59,9.6155213E7,1.898125906E9
2020-06-24,2.79,2.86,2.59,2.63,1.23144383E8,1.929470784E9
2020-06-23,2.67,2.79,2.62,2.78,1.24142617E8,2.04380752E9
2020-06-22,2.59,2.69,2.58,2.67,8.6427173E7,1.962129981E9
2020-06-21,2.61,2.63,2.58,2.59,7.0563395E7,1.898245316E9
2020-06-20,2.61,2.66,2.56,2.61,9.1712777E7,1.913571996E9
2020-06-19,2.67,2.71,2.61,2.61,1.09421476E8,1.915918065E9
2020-06-18,2.68,2.75,2.57,2.67,1.34651482E8,1.956963705E9
2020-06-17,2.61,2.69,2.56,2.68,9.1846757E7,1.962926847E9
2020-06-16,2.63,2.66,2.58,2.61,8.4311702E7,1.914982157E9
2020-06-15,2.6,2.68,2.45,2.63,1.12822537E8,1.927691706E9
2020-06-14,2.7,2.7,2.58,2.6,7.9164821E7,1.904813417E9
2020-06-13,2.67,2.72,2.65,2.7,7.7595251E7,1.975346677E9
2020-06-12,2.62,2.75,2.6,2.67,1.05415375E8,1.955368452E9
2020-06-11,2.89,2.91,2.56,2.62,1.20669171E8,1.92205208E9
2020-06-10,2.91,2.92,2.87,2.89,8.1680807E7,2.11486E9
2020-06-09,2.94,2.95,2.88,2.91,7.9075416E7,2.129187183E9
2020-06-08,2.89,2.95,2.87,2.94,6.6821735E7,2.152495514E9
2020-06-07,2.92,2.93,2.82,2.89,7.6804197E7,2.11578295E9
2020-06-06,2.94,2.97,2.91,2.92,6.1405619E7,2.135627432E9
2020-06-05,3.0,3.02,2.93,2.94,8.2637386E7,2.097779246E9
2020-06-04,3.03,3.08,2.92,3.0,1.06155906E8,2.138357993E9
