date,open,high,low,close,volumeUSD,marketCapUSD
2020-09-30,61.23,67.39,59.74,67.14,4.16556289E8,6.81605525E8
2020-09-29,56.33,61.52,56.28,61.2,3.7791092E8,6.20846616E8
2020-09-28,55.52,58.2,55.49,56.33,2.69392266E8,5.71037153E8
2020-09-27,56.42,56.86,54.14,55.52,2.39852956E8,5.62439861E8
2020-09-26,54.97,56.79,54.3,56.42,2.34484177E8,5.71130774E8
2020-09-25,55.01,55.81,53.58,54.94,2.44534989E8,5.55811446E8
2020-09-24,51.92,55.11,51.59,55.02,2.54947232E8,5.56182322E8
2020-09-23,53.46,54.53,51.08,51.95,2.38030297E8,5.24823851E8
2020-09-22,52.06,53.94,51.83,53.46,2.45687513E8,5.39621746E8
2020-09-21,57.63,58.46,52.11,52.11,3.46450504E8,5.2569279E8
2020-09-20,58.05,58.16,55.69,57.63,3.43412181E8,5.80933374E8
2020-09-19,57.82,59.23,57.6,58.0,2.86298617E8,5.84287228E8
2020-09-18,59.6,59.95,57.36,57.83,2.98706004E8,5.82117865E8
2020-09-17,58.47,59.92,57.64,59.6,3.3441229E8,5.99508572E8
2020-09-16,59.57,59.61,57.28,58.46,4.02576266E8,5.87643732E8
2020-09-15,63.34,66.68,59.17,59.5,3.74833277E8,5.97711938E8
2020-09-14,62.43,65.36,60.99,63.32,3.59163569E8,6.3558812E8
2020-09-13,65.99,66.35,61.45,62.6,1.1211741954E10,6.27940205E8
2020-09-12,63.43,67.15,62.48,65.99,1.2719387643E10,6.61425583E8
2020-09-11,62.49,64.27,58.37,63.43,1.1459834499E10,6.35347483E8
2020-09-10,60.07,63.14,59.86,62.49,1.2056159801E10,6.25484205E8
2020-09-09,58.91,61.38,57.93,60.02,2.66749376E8,6.00310168E8
2020-09-08,61.93,66.06,57.58,59.04,4.07859311E8,5.90077076E8
2020-09-07,58.92,62.61,55.73,61.98,4.15429521E8,6.19011721E8
2020-09-06,55.36,60.03,54.86,58.92,3.92477808E8,5.88046856E8
2020-09-05,60.05,60.82,51.95,55.36,4.08532471E8,5.52135609E8
2020-09-04,57.19,61.58,56.0,60.04,4.91190708E8,5.9832797E8
2020-09-03,77.06,77.22,55.25,57.08,4.49429386E8,5.68415041E8
2020-09-02,83.32,84.05,75.32,77.03,4.24065185E8,7.66528372E8
2020-09-01,79.47,85.13,79.02,83.32,4.40951379E8,8.2853026E8
2020-08-31,81.46,81.71,78.77,79.5,3.08160406E8,7.90045424E8
2020-08-30,79.84,82.17,79.28,81.49,3.56801593E8,8.09189301E8
2020-08-29,77.63,81.01,76.86,79.89,3.24804125E8,7.92694881E8
2020-08-28,74.37,77.93,73.76,77.61,3.72517114E8,7.69595115E8
2020-08-27,76.51,76.86,73.78,74.34,3.73471123E8,7.36579745E8
2020-08-26,74.63,77.69,73.29,76.55,4.01516001E8,7.57903704E8
2020-08-25,80.82,82.36,73.75,74.62,5.33791568E8,7.38266765E8
2020-08-24,83.69,83.9,79.85,80.79,3.55588103E8,7.98819968E8
2020-08-23,78.24,83.81,76.82,83.61,4.35309106E8,8.26069957E8
2020-08-22,75.64,78.74,74.49,78.32,3.32344264E8,7.73218677E8
2020-08-21,79.57,81.47,75.66,75.66,3.81779095E8,7.46392541E8
2020-08-20,77.14,80.38,76.93,79.53,3.30574525E8,7.84085376E8
2020-08-19,83.26,83.86,75.34,77.12,4.69428437E8,7.59746473E8
2020-08-18,85.77,87.75,83.17,83.25,4.30000342E8,8.19509587E8
2020-08-17,84.39,88.1,83.13,85.74,4.53427629E8,8.43407025E8
2020-08-16,84.74,85.4,81.98,84.39,3.59705956E8,8.29575584E8
2020-08-15,84.46,86.98,83.65,84.71,4.00928757E8,8.32028134E8
2020-08-14,87.58,87.84,83.74,84.5,4.1691202E8,8.2937395E8
2020-08-13,84.14,88.29,79.1,87.49,5.30879433E8,8.58121218E8
2020-08-12,81.34,85.07,77.9,84.1,5.9731681E8,8.24301958E8
2020-08-11,87.85,88.58,80.24,81.33,5.41745005E8,7.96495229E8
2020-08-10,90.25,93.23,87.15,87.97,4.66890855E8,8.60912251E8
2020-08-09,94.13,94.34,89.06,90.22,4.1964272E8,8.82294854E8
2020-08-08,92.26,96.35,90.52,93.95,4.3639257E8,9.18081127E8
2020-08-07,95.06,95.88,87.89,92.24,5.61374781E8,9.00772089E8
2020-08-06,95.99,102.18,91.84,95.11,6.8427889E8,9.28050899E8
2020-08-05,84.12,96.18,84.12,96.03,6.8753361E8,9.36386547E8
2020-08-04,82.47,84.43,81.15,84.08,3.80704617E8,8.19217632E8
2020-08-03,83.92,84.77,81.84,82.47,4.34416856E8,8.0295727E8
2020-08-02,89.59,90.7,78.34,83.96,7.38836092E8,8.16854879E8
2020-08-01,74.6,94.13,74.15,89.75,7.39726742E8,8.72565052E8
2020-07-31,70.91,74.73,70.85,74.6,2.87703551E8,7.24789108E8
2020-07-30,72.43,72.65,70.34,70.89,2.30217303E8,6.88198632E8
2020-07-29,70.91,74.01,70.62,72.43,2.4305969E8,7.02651812E8
2020-07-28,70.71,72.66,68.83,70.97,2.63253531E8,6.87960078E8
2020-07-27,65.77,72.23,65.77,70.55,3.84278155E8,6.83425347E8
2020-07-26,65.37,66.67,64.07,65.76,2.56116202E8,6.36507086E8
2020-07-25,63.08,65.67,63.07,65.41,2.11286221E8,6.32645697E8
2020-07-24,63.48,64.37,62.12,63.05,2.11546148E8,6.09359579E8
2020-07-23,64.25,64.73,63.14,63.46,1.9833502E8,6.12890282E8
2020-07-22,62.27,64.46,61.16,64.2,2.43535935E8,6.19532347E8
2020-07-21,57.14,62.35,56.99,62.26,2.42781677E8,6.00371766E8
2020-07-20,58.36,58.47,56.99,57.11,1.37174363E8,5.50348356E8
2020-07-19,58.94,59.23,57.2,58.33,1.38823508E8,5.61683457E8
2020-07-18,59.53,59.82,58.1,58.96,1.40696214E8,5.67275264E8
2020-07-17,58.84,60.17,58.04,59.58,1.91240194E8,5.72864532E8
2020-07-16,61.28,61.56,57.65,58.87,2.34367747E8,5.65617364E8
2020-07-15,61.81,62.98,60.95,61.28,2.29162273E8,5.88329452E8
2020-07-14,61.24,62.86,59.42,61.82,2.62540342E8,5.93026928E8
2020-07-13,58.6,63.49,58.6,61.29,3.66515023E8,5.87574046E8
2020-07-12,56.0,60.49,55.84,58.6,2.74094663E8,5.6133504E8
2020-07-11,55.93,56.58,55.12,55.97,1.67850631E8,5.35738495E8
2020-07-10,57.23,57.23,54.34,55.94,1.6559607E8,5.3500521E8
2020-07-09,57.94,58.56,56.07,57.26,2.24388748E8,5.47293065E8
2020-07-08,55.01,58.67,54.65,57.94,2.80091307E8,5.53314756E8
2020-07-07,55.47,55.74,53.62,54.98,2.1206842E8,5.24700492E8
2020-07-06,51.19,55.66,51.13,55.51,2.68463954E8,5.29388423E8
2020-07-05,51.38,51.64,50.43,51.19,1.60029516E8,4.87791841E8
2020-07-04,51.19,51.68,50.71,51.38,1.6481488E8,4.89259592E8
2020-07-03,51.8,52.07,51.02,51.2,1.80575034E8,4.8719002E8
2020-07-02,51.88,53.58,50.54,51.8,2.30979917E8,4.92507804E8
2020-07-01,51.58,52.58,51.34,51.87,2.2727966E8,4.9282472E8
2020-06-30,52.46,52.76,51.39,51.58,2.24451057E8,4.89677382E8
2020-06-29,51.92,53.37,51.82,52.49,2.77643965E8,4.9795671E8
2020-06-28,52.69,53.76,51.45,51.9,2.76478277E8,4.91975393E8
2020-06-27,55.66,55.92,51.85,52.69,2.47381871E8,4.99013553E8
2020-06-26,55.94,56.51,54.8,55.65,2.77924646E8,5.26726661E8
2020-06-25,55.2,56.55,53.61,55.93,2.91506165E8,5.2890815E8
2020-06-24,58.38,59.41,54.05,55.2,4.2835358E8,5.21648509E8
2020-06-23,53.33,60.02,52.37,58.34,5.11626236E8,5.50927828E8
2020-06-22,50.57,53.33,50.5,53.33,2.58082529E8,5.03210152E8
2020-06-21,51.31,52.03,50.39,50.56,1.83481001E8,4.76672156E8
2020-06-20,51.17,51.65,50.66,51.33,1.94086212E8,4.83603518E8
2020-06-19,52.17,52.33,51.02,51.17,2.12071491E8,4.81718512E8
